team,rank,played,won,drawn,lost,gf,ga,gd,points,manager,captain,stadium,top_scorer_all_time,premier_league_titles,fa_cup_titles,league_cup_titles
Manchester City,1,38,28,5,5,94,33,61,89,Pep Guardiola,İlkay Gündoğan,Etihad Stadium,Sergio Agüero (260 goals),7 wins,7 wins,8 wins
Arsenal,2,38,26,6,6,88,43,45,84,Mikel Arteta,Martin Ødegaard,Emirates Stadium,Thierry Henry (228 goals),3 wins,14 wins,2 wins
Manchester United,3,38,23,6,9,58,43,15,75,Erik ten Hag,Harry Maguire,Old Trafford,Wayne Rooney (253 goals),13 wins,12 wins,6 wins
Newcastle United,4,38,19,14,5,68,33,35,71,Eddie Howe,Jamaal Lascelles,St. James' Park,Alan Shearer (206 goals),0 wins,6 wins,0 wins
Liverpool,5,38,19,10,9,75,47,28,67,Jürgen Klopp,Jordan Henderson,Anfield,Ian Rush (346 goals),1 win,8 wins,9 wins
Brighton & Hove Albion,6,38,18,8,12,72,53,19,62,Roberto De Zerbi,Lewis Dunk,Amex Stadium,Tommy Cook (123 goals),0 wins,0 wins,0 wins
Aston Villa,7,38,18,7,13,51,46,5,61,Unai Emery,John McGinn,Villa Park,Billy Walker (244 goals),0 wins,7 wins,5 wins
Tottenham Hotspur,8,38,18,6,14,70,63,7,60,Ryan Mason,Hugo Lloris,Tottenham Hotspur Stadium,Harry Kane (280 goals),0 wins,8 wins,4 wins
Brentford,9,38,15,14,9,58,46,12,59,Thomas Frank,Pontus Jansson,Gtech Community Stadium,Jim Towers (163 goals),0 wins,0 wins,0 wins
Fulham,10,38,15,7,16,55,53,2,52,Marco Silva,Tom Cairney,Craven Cottage,Gordon Davies (178 goals),0 wins,0 wins,0 wins
Crystal Palace,11,38,11,12,15,40,49,-9,45,Roy Hodgson,Luka Milivojevic,Selhurst Park,Peter Simpson (165 goals),0 wins,0 wins,0 wins
Chelsea,12,38,11,11,16,38,47,-9,44,Frank Lampard,Cesar Azpilicueta,Stamford Bridge,Frank Lampard (211 goals),5 wins,8 wins,5 wins
Wolverhampton,13,38,11,8,19,31,58,-27,41,Julen Lopetegui,Rúben Neves,Molineux Stadium,Steve Bull (306 goals),0 wins,4 wins,2 wins
West Ham United,14,38,11,7,20,42,55,-13,40,David Moyes,Declan Rice,London Stadium,Vic Watson (326 goals),0 wins,3 wins,0 wins
Bournemouth,15,38,11,6,21,37,71,-34,39,Gary O'Neil,Neto,Vitality Stadium,Ron Eyre (229 goals),0 wins,0 wins,0 wins
Nottingham Forest,16,38,9,11,18,38,68,-30,38,Steve Cooper,Joe Worrall,City Ground,Grenville Morris (217 goals),0 wins,2 wins,4 wins
Everton,17,38,8,12,18,34,57,-23,36,Sean Dyche,Seamus Coleman,Goodison Park,Dixie Dean (383 goals),0 wins,5 wins,0 wins
Leicester City,18,38,9,7,22,51,68,-17,34,Dean Smith,Jonny Evans,King Power Stadium,Jamie Vardy (190 goals),1 win,1 win,3 wins
Leeds United,19,38,7,10,21,48,78,-30,31,Sam Allardyce,Liam Cooper,Elland Road,Peter Lorimer (238 goals),0 wins,1 win,1 win
Southampton,20,38,6,7,25,36,73,-37,25,Rubén Sellés,James Ward-Prowse,St Mary's Stadium,Mick Channon (228 goals),0 wins,1 win,0 wins
