goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position
0,1,0,136,64.45,69,56.1,16,66.67,79,3,85.47,205,61.38,3248,41,28,12,37,0,0,0,0,0,0,0,0,0,0,490,2,1576,28,20,20.2,38,31.67,106,114,30,1,12,5,1,0,0,2,,0,2,0,Nacho Monreal,Arsenal,17088,42,DF
0,1,0,48,70.59,18,52.94,3,75,37,,80.61,66,64.71,1080,8,8,3,12,0,0,0,0,0,0,0,0,0,0,12,0,266,1,0,0,37,53.62,28,83,8,0,0,0,0,0,0,0,,0,0,0,Jores Okore,Aston Villa,90341,40,DF
0,2,0,44,53.01,80,79.21,1,50,34,,84.6,124,67.39,1897,12,23,1,24,0,0,0,0,0,0,0,0,0,0,90,0,890,8,1,25,80,54.79,37,153,15,0,22,6,7,0,0,0,,1,1,0,Dejan Lovren,Liverpool,39480,44,DF
0,1,0,49,59.04,18,69.23,16,76.19,27,3,88.18,67,61.47,855,6,16,4,14,0,0,0,0,0,0,0,0,0,0,187,1,515,8,9,25.71,22,52.38,15,18,9,0,6,1,3,0,0,2,,0,0,1,Antonio Valencia,Manchester United,11820,35,DF
2,7,0,136,61.54,46,54.12,6,30,114,3,81.65,182,59.48,3202,18,39,5,37,0,0,0,0,0,0,0,0,0,0,449,3,1468,21,11,19.3,103,47.47,86,102,28,0,10,5,2,20,0,1,,0,0,0,César Azpilicueta,Chelsea,21555,38,DF
2,4,1,63,59.43,91,68.42,2,100,53,1,83.97,154,64.44,3168,11,21,8,37,0,0,0,0,0,0,0,0,0,0,142,1,1362,7,3,33.33,136,52.51,80,225,17,2,20,8,2,10,0,1,,0,3,2,José Fonte,Southampton,27622,45,DF
0,8,0,79,54.11,124,63.92,12,80,55,1,82.45,203,59.71,3150,14,47,9,35,0,0,0,0,0,0,0,0,0,0,93,1,1264,6,0,0,104,47.71,97,180,13,2,18,2,7,0,2,1,,0,0,0,Chris Smalling,Manchester United,47741,35,DF
0,2,0,19,55.88,26,68.42,6,100,10,,85.95,45,62.5,630,3,13,1,7,0,0,0,0,0,0,0,0,0,0,12,0,208,0,0,0,12,42.86,10,60,4,1,5,3,1,0,0,2,,1,0,0,Brede Hangeland,Crystal Palace,6381,7,DF
1,7,0,131,56.22,52,67.53,17,38.64,87,3,78.4,183,59.03,2943,30,29,22,33,0,0,0,0,0,0,0,0,0,0,276,5,980,34,18,23.08,77,42.08,92,106,25,0,21,7,8,4.76,0,3,,1,4,0,Kyle Walker,Tottenham Hotspur,44614,33,DF
1,1,0,48,66.67,75,63.03,8,88.89,30,,87.85,123,64.4,1855,14,9,10,22,0,0,0,0,0,0,0,0,0,0,109,0,1092,4,0,0,69,58.47,37,137,6,1,6,1,1,16.67,0,1,,0,3,0,Mamadou Sakho,Liverpool,21134,44,DF
1,7,0,137,57.56,23,53.49,28,62.22,67,3,79.47,160,56.94,2132,43,41,29,24,0,0,0,0,0,0,0,0,0,0,221,6,844,24,12,13.64,49,36.57,39,79,18,2,26,4,8,3.85,0,1,,1,0,0,Danny Rose,Tottenham Hotspur,16586,33,DF
1,9,0,146,52.52,45,52.94,39,68.42,79,,81.27,191,52.62,2492,31,36,40,30,0,0,0,0,0,0,0,0,0,0,366,6,1458,33,0,0,111,56.92,62,43,40,0,30,13,8,3.33,1,5,,2,3,1,Emre Can,Liverpool,138156,44,DF
0,0,0,2,66.67,9,56.25,0,0,2,,69.12,11,57.89,149,1,0,0,6,0,0,0,0,0,0,0,0,0,0,13,0,47,1,0,0,1,14.29,6,14,0,0,3,2,1,0,0,0,,0,0,0,Steven Caulker,Liverpool,73685,44,DF
3,10,0,109,48.23,88,56.41,8,57.14,80,2,83.25,197,51.57,3266,24,52,28,37,0,0,0,0,0,0,0,0,0,0,311,3,1735,18,2,10.53,120,53.57,80,70,33,1,30,7,9,10,0,0,,0,0,0,Eric Dier,Tottenham Hotspur,146101,33,DF
5,7,0,55,59.14,115,60.53,10,90.91,35,1,75.27,170,60.07,3150,13,20,4,35,0,0,0,0,0,0,0,0,0,0,122,0,840,10,1,20,131,46.45,62,179,13,0,29,11,4,17.24,1,5,,1,1,0,Scott Dann,Crystal Palace,20278,7,DF
3,8,0,59,55.66,116,63.39,3,100,41,,71.6,175,60.55,3150,17,35,5,35,0,0,0,0,0,0,0,0,0,0,38,1,580,2,0,0,34,24.82,76,258,11,4,28,6,4,10.71,0,3,,0,2,0,Robert Huth,Leicester City,1203,31,DF
