team,rank,played,won,drawn,lost,gf,ga,gd,points,manager,captain,stadium,top_scorer_all_time,premier_league_titles,fa_cup_titles,league_cup_titles
Manchester City,1,38,32,4,2,106,27,79,100,Pep Guardiola,Vincent Kompany,Etihad Stadium,Sergio Agüero,3,5,5
Manchester United,2,38,25,6,7,68,28,40,81,José Mourinho,Michael Carrick,Old Trafford,Wayne Rooney,13,12,5
Tottenham Hotspur,3,38,23,8,7,74,36,38,77,Mauricio Pochettino,Hugo Lloris,Wembley Stadium,Jimmy Greaves,0,8,4
Liverpool,4,38,21,12,5,84,38,46,75,Jürgen Klopp,Jordan Henderson,Anfield,Ian Rush,0,7,8
Chelsea,5,38,21,7,10,62,38,24,70,Antonio Conte,Gary Cahill,Stamford Bridge,Frank Lampard,5,8,5
Arsenal,6,38,19,6,13,74,51,23,63,Arsène Wenger,Per Mertesacker,Emirates Stadium,Thierry Henry,3,13,2
Burnley,7,38,14,12,12,36,39,-3,54,Sean Dyche,Ben Mee,Turf Moor,George Beel,0,1,0
Everton,8,38,13,10,15,44,58,-14,49,Sam Allardyce,Phil Jagielka,Goodison Park,Dixie Dean,0,5,0
Leicester City,9,38,12,11,15,56,60,-4,47,Claude Puel,Wes Morgan,King Power Stadium,Arthur Chandler,1,0,3
Newcastle United,10,38,12,8,18,39,47,-8,44,Rafael Benítez,Jamaal Lascelles,St James' Park,Alan Shearer,0,6,0
Crystal Palace,11,38,11,11,16,45,55,-10,44,Roy Hodgson,Jason Puncheon,Selhurst Park,Peter Simpson,0,0,0
Bournemouth,12,38,11,11,16,45,61,-16,44,Eddie Howe,Simon Francis,Vitality Stadium,Ron Eyre,0,0,0
West Ham United,13,38,10,12,16,48,68,-20,42,David Moyes,Mark Noble,London Stadium,Vic Watson,0,3,0
Watford,14,38,11,8,19,44,64,-20,41,Javi Gracia,Troy Deeney,Vicarage Road,Luther Blissett,0,0,0
Brighton & Hove Albion,15,38,9,13,16,34,54,-20,40,Chris Hughton,Bruno Saltor,Amex Stadium,Tommy Cook,0,0,0
Huddersfield Town,16,38,9,10,19,28,58,-30,37,David Wagner,Tommy Smith,John Smith's Stadium,George Brown,0,1,0
Southampton,17,38,7,15,16,37,56,-19,36,Mark Hughes,Steven Davis,St Mary's Stadium,Mick Channon,0,1,0
Swansea City,18,38,8,9,21,28,56,-28,33,Carlos Carvalhal,Angel Rangel,Liberty Stadium,Ivor Allchurch,0,0,1
Stoke City,19,38,7,12,19,35,68,-33,33,Paul Lambert,Ryan Shawcross,bet365 Stadium,John Ritchie,0,0,0
West Bromwich Albion,20,38,6,13,19,31,56,-25,31,Darren Moore,Chris Brunt,The Hawthorns,Tony Brown,0,1,1
