team,rank,played,won,drawn,lost,gf,ga,gd,points,manager,captain,stadium,top_scorer_all_time,premier_league_titles,fa_cup_titles,league_cup_titles
Leicester City,1,38,23,12,3,68,36,32,81,Claudio Ranieri,Wes Morgan,King Power Stadium,Arthur Chandler,1,0,3
Arsenal,2,38,20,11,7,65,36,29,71,Arsène Wenger,Mikel Arteta,Emirates Stadium,Thierry Henry,3,12,2
Tottenham Hotspur,3,38,19,13,6,69,35,34,70,Mauricio Pochettino,Hugo Lloris,White Hart Lane,Jimmy Greaves,0,8,4
Manchester City,4,38,19,9,10,71,41,30,66,Manuel Pellegrini,Vincent Kompany,Etihad Stadium,Sergio Agüero,2,5,4
Manchester United,5,38,19,9,10,49,35,14,66,Louis van Gaal,Wayne Rooney,Old Trafford,Wayne Rooney,13,12,4
Southampton,6,38,18,9,11,59,41,18,63,Ronald Koeman,José Fonte,St Mary's Stadium,Mick Channon,0,1,0
West Ham United,7,38,16,14,8,65,51,14,62,Slaven Bilić,Mark Noble,Upton Park,Vic Walton,0,3,0
Liverpool,8,38,16,12,10,63,50,13,60,Jürgen Klopp,Jordan Henderson,Anfield,Ian Rush,0,7,8
Stoke City,9,38,14,9,15,41,55,-14,51,Mark Hughes,Ryan Shawcross,Britannia Stadium,John Ritchie,0,0,0
Chelsea,10,38,12,14,12,59,53,6,50,Guus Hiddink,John Terry,Stamford Bridge,Frank Lampard,4,7,5
Everton,11,38,11,14,13,59,55,4,47,Roberto Martínez,Phil Jagielka,Goodison Park,Dixie Dean,0,5,0
Swansea City,12,38,12,11,15,42,52,-10,47,Francesco Guidolin,Ashley Williams,Liberty Stadium,Ivor Allchurch,0,0,1
Watford,13,38,12,9,17,40,50,-10,45,Quique Sánchez Flores,Troy Deeney,Vicarage Road,Luther Blissett,0,0,0
West Bromwich Albion,14,38,10,13,15,34,48,-14,43,Tony Pulis,Darren Fletcher,The Hawthorns,Tony Brown,0,1,1
Crystal Palace,15,38,11,9,18,39,51,-12,42,Alan Pardew,Mile Jedinak,Selhurst Park,Peter Simpson,0,0,0
Bournemouth,16,38,11,9,18,45,67,-22,42,Eddie Howe,Tommy Elphick,Vitality Stadium,Ron Eyre,0,0,0
Sunderland,17,38,9,12,17,48,62,-14,39,Sam Allardyce,John O'Shea,Stadium of Light,Bobby Gurney,0,2,0
Newcastle United,18,38,9,10,19,44,65,-21,37,Rafael Benítez,Fabricio Coloccini,St James' Park,Alan Shearer,0,6,0
Norwich City,19,38,9,7,22,39,67,-28,34,Alex Neil,Russell Martin,Carrow Road,Johnny Gavin,0,0,2
Aston Villa,20,38,3,8,27,27,76,-49,17,Eric Black,Micah Richards,Villa Park,Billy Walker,0,7,5
