player_name,player_id
Christian Eriksen,105734
Rasmus Højlund,1086417
Ryan Yates,846252
Jonny Evans,30144
Odsonne Édouard,795228
Jhon Durán,974577
Danilo,1064039
Jóhann Guðmundsson,49805
Mads Juel Andersen,841005
Murillo,1199282
Oliver Arblaster,1191153
David Raya,581310
Axel Disasi,827243
Philip Billing,548660
Raúl Jiménez,192442
Pau Torres,864169
Dean Henderson,788134
Will Hughes,193554
Ben Mee,137774
Emerson Royal,856123
Sandro Tonali,892673
Danny Welbeck,33902
James Hill,1156586
Bobby Decordova-Reid,151499
Reece Burke,372342
Morgan Rogers,948261
Sam Johnstone,98427
Tommy Doyle,932628
Serge Aurier,105697
Evan Ferguson,999231
Zeki Amdouni,990550
Jacob Bruun Larsen,809276
Jamaal Lascelles,153444
Joël Veltman,219572
Rodrigo Bentancur,791190
Valentino Livramento,980634
Jack Harrison,829570
Tim Ream,118179
Lyle Foster,901907
Neco Williams,927356
Gabriel Osho,920680
Alex Scott,1104986
Ryan Gravenberch,904897
Konstantinos Mavropanos,829022
Kenny Tete,190877
Teden Mengi,979233
Wataru Endo,143040
Mikkel Damsgaard,907072
Matheus Nunes,945122
Benoît Badiashile,904827
Nathaniel Clyne,43215
Philippe Coutinho,119159
Pierre-Emile Højbjerg,149593
Issa Kaboré,1006189
Neal Maupay,268903
Emile Smith Rowe,867445
Nayef Aguerd,877102
Matt Doherty,143047
Vinícius Souza,979290
Frank Onyeka,885864
Jacob Ramsey,975937
Clément Lenglet,580550
Adama Traoré,286165
Toti Gomes,973418
Harry Toffolo,358218
Gonzalo Montiel,822933
Lewis Hall,1136730
George Earthy,1212165
David Datro Fofana,1090458
Maxwel Cornet,280439
Ibrahim Sangaré,843754
Ilya Zabarnyi,1023567
Giovanni Reyna,989056
Álex Moreno,294593
Tahith Chong,825845
Mason Mount,836694
Marvelous Nakamba,556904
Cauley Woodrow,140487
Jeffrey Schlupp,148710
Ola Aina,800417
Calvin Bassey,861972
Jesurun Rak-Sakyi,1101362
Michael Obafemi,921216
Kurt Zouma,139227
Vladimír Coufal,138024
Facundo Buonanotte,1117025
Joe Willock,888550
Facundo Pellistri,989803
Jacob Brown,858911
Andros Townsend,47992
Harrison Reed,365802
