goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position
0,0,0,13,76.47,1,100,2,100,9,1,77.08,14,77.78,180,2,1,0,2,0,0,0,0,2,1,0,0,0,0,27,0,74,2,1,14.29,3,37.5,8,4,3,0,2,0,0,0,0,0,,0,0,0,Jérémy Pied,Southampton,37761,45,DF
0,1,0,45,76.27,9,47.37,13,86.67,29,0,72.91,54,69.23,628,3,2,6,7,0,0,0,0,7,3,0,0,0,0,51,0,148,3,4,20,5,17.86,15,34,4,0,0,0,0,0,0,0,,0,0,0,Aaron Wan-Bissaka,Crystal Palace,863653,7,DF
2,1,0,98,62.42,81,59.56,6,66.67,80,6,86.81,179,61.09,3330,13,25,7,37,0,0,0,0,36,2,0,0,0,0,446,11,2395,32,15,18.75,124,47.88,54,119,27,0,13,3,3,15.38,0,1,,0,1,1,César Azpilicueta,Chelsea,21555,38,DF
0,0,0,8,72.73,2,50,0,0,7,0,62.96,10,66.67,90,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,17,0,0,0,2,40,1,4,2,0,2,1,0,0,0,1,,0,0,0,Yohan Benalouane,Leicester City,21515,31,DF
0,0,0,6,75,1,100,1,100,4,0,82.22,7,77.78,97,1,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,37,4,1,20,2,33.33,2,5,2,0,1,0,0,0,0,0,,0,0,0,Jesús Gámez,Newcastle United,13193,39,DF
0,1,0,84,61.76,36,55.38,13,72.22,52,5,81.44,120,59.7,1913,20,18,6,24,0,0,0,0,20,1,0,0,0,0,327,7,1031,41,23,18.85,74,49.01,20,45,23,1,7,1,1,0,0,3,,0,1,0,Kieran Trippier,Tottenham Hotspur,69256,33,DF
2,3,0,87,56.13,45,47.37,15,71.43,47,6,80.14,132,52.8,2325,25,24,16,29,0,0,0,0,18,2,0,0,0,0,357,5,1045,47,34,22.82,47,41.59,28,62,23,0,18,6,4,11.11,0,0,,0,1,0,Ben Davies,Tottenham Hotspur,94758,33,DF
2,1,1,79,56.03,48,62.34,15,68.18,48,2,79.38,127,58.26,1429,16,21,16,17,0,0,0,0,10,2,0,0,0,0,194,5,616,15,6,8.82,26,50.98,31,48,20,1,15,6,3,13.33,0,2,,0,1,0,Serge Aurier,Tottenham Hotspur,105697,33,DF
3,8,0,117,61.26,46,48.42,24,75,67,4,85.55,163,56.99,2094,27,27,15,26,0,0,0,0,26,3,0,0,0,0,291,5,1320,25,5,45.45,76,54.68,28,32,25,1,27,8,5,11.11,1,0,,0,1,0,Emre Can,Liverpool,138156,44,DF
0,4,0,117,72.22,118,64.13,30,78.95,64,0,86.33,235,67.92,3205,25,20,6,36,0,0,0,0,28,3,0,0,0,0,287,2,2148,12,2,13.33,163,52.08,60,170,11,1,24,4,12,0,1,1,,0,0,0,Jan Vertonghen,Tottenham Hotspur,16921,33,DF
0,2,0,52,68.42,57,72.15,7,77.78,25,0,91.23,109,70.32,1975,24,10,1,23,0,0,0,0,10,1,0,0,0,0,54,0,988,2,0,0,53,57.61,41,129,11,1,2,0,0,0,1,0,,0,2,0,Phil Jones,Manchester United,93868,35,DF
2,4,0,68,68.69,80,56.74,2,66.67,43,0,89,148,61.67,2227,26,14,4,25,0,0,0,0,30,2,0,0,0,0,192,0,1553,7,1,20,111,66.87,54,134,14,1,9,2,2,22.22,1,2,,1,2,0,Laurent Koscielny,Arsenal,51340,42,DF
4,9,0,82,60.74,79,53.74,5,71.43,58,0,91.9,161,57.09,2968,22,28,1,34,0,0,0,0,19,6,0,0,0,0,325,1,2825,12,0,0,146,64.32,48,122,25,1,32,10,6,12.5,2,0,,3,0,0,Nicolás Otamendi,Manchester City,74915,17,DF
0,1,0,49,70,138,73.02,5,83.33,25,0,88.31,187,72.2,2253,21,14,5,26,0,0,0,0,21,7,0,0,0,0,122,4,1564,8,0,0,107,51.69,47,155,2,2,27,6,5,0,0,0,,0,2,0,Virgil van Dijk,Liverpool,151545,44,DF
0,1,0,27,64.29,16,84.21,3,100,23,0,92.41,43,70.49,533,1,7,2,8,0,0,0,0,3,0,0,0,0,0,168,0,621,8,0,0,17,68,6,7,6,0,5,2,0,0,0,2,,0,0,0,Oleksandr Zinchenko,Manchester City,287643,17,DF
4,4,0,57,64.04,108,67.5,3,100,40,0,87.6,165,66.27,2535,14,24,2,29,0,0,0,0,22,2,0,0,0,0,38,0,996,2,0,0,44,43.14,63,159,12,0,13,6,3,30.77,0,2,,0,1,0,Chris Smalling,Manchester United,47741,35,DF
1,6,0,24,48,42,77.78,3,100,20,1,92.58,66,63.46,1396,1,18,2,17,0,0,0,0,10,2,0,0,0,0,121,1,1323,4,0,0,84,70.59,16,71,6,1,9,2,2,11.11,0,0,,0,1,0,Vincent Kompany,Manchester City,6019,17,DF
3,8,0,66,64.08,116,63.74,6,100,47,0,81.58,182,63.86,2388,14,20,2,28,0,0,0,0,24,8,0,0,0,0,59,0,722,1,0,0,75,47.17,66,213,15,3,23,10,2,13.04,2,1,,1,0,0,James Tomkins,Crystal Palace,32124,7,DF
0,5,0,61,67.03,117,60,3,100,33,0,76.38,178,62.24,2610,29,14,3,29,0,0,0,0,25,2,0,0,0,0,74,0,818,6,0,0,113,47.28,33,208,13,2,25,8,4,0,0,3,,1,0,0,Ben Mee,Burnley,137774,6,DF
0,5,0,78,60.47,147,70.33,11,84.62,46,0,72.94,225,66.57,2790,24,25,7,31,0,0,0,0,29,1,0,0,0,0,81,1,798,7,2,50,119,42.81,50,219,21,1,18,5,3,0,0,3,,0,2,0,James Tarkowski,Burnley,145188,6,DF
1,2,0,44,47.83,15,60,9,52.94,31,5,87.05,59,50.43,1943,4,15,12,22,0,0,0,0,16,2,0,0,0,0,396,8,1237,24,11,12.5,41,41.84,26,49,14,0,12,2,3,8.33,0,5,,0,0,0,Andrew Robertson,Liverpool,262911,44,DF
0,6,1,103,69.59,155,62,2,100,83,1,81.35,258,64.82,3266,21,30,1,37,0,0,0,0,47,6,0,0,0,0,80,3,1130,9,0,0,94,48.21,75,265,18,1,10,0,2,0,1,1,,0,1,0,Christopher Schindler,Huddersfield Town,96905,59,DF
7,6,0,97,53.89,61,53.04,17,51.52,51,2,79.44,158,53.56,2860,31,26,24,33,0,0,0,0,28,2,0,0,0,0,340,4,1070,34,18,18.75,39,34.82,47,60,21,1,65,23,19,10.77,0,8,,1,0,0,Marcos Alonso,Chelsea,69408,38,DF
0,8,0,55,56.7,197,67.7,6,85.71,31,1,76.6,252,64.95,3294,25,34,2,37,0,0,0,0,49,3,0,0,0,0,64,2,1041,8,2,66.67,135,45.45,50,327,13,2,28,5,5,0,1,7,,1,4,0,Shane Duffy,Brighton & Hove Albion,55570,30,DF
