goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position
1,7,0,92,57.14,120,62.5,10,76.92,67,1,78.28,212,60.06,3420,17,36,8,38,0,0,0,0,51,3,0,0,0,0,100,1,1171,11,2,28.57,164,45.68,71,222,23,3,27,9,9,3.7,0,0,,0,2,0,Lewis Dunk,Brighton & Hove Albion,115365,30,DF
3,2,0,61,62.89,16,72.73,8,61.54,43,2,89.92,77,64.71,1341,10,12,4,23,0,0,0,0,9,2,0,0,0,0,232,0,999,6,3,12.5,33,47.14,19,28,16,0,19,7,2,15.79,1,0,,0,0,0,Danilo,Manchester City,124992,17,DF
0,1,0,15,51.72,24,72.73,3,100,8,0,92.48,39,62.9,807,4,10,0,9,0,0,0,0,3,2,0,0,0,0,83,0,750,2,1,50,42,66.67,11,26,5,0,3,0,3,0,0,0,,0,0,0,Aymeric Laporte,Manchester City,149734,17,DF
3,6,0,76,58.02,122,62.24,1,50,64,1,86.16,198,60.55,2274,12,26,4,27,0,0,0,0,29,1,0,0,0,0,142,3,1494,8,3,25,73,41.95,57,171,26,0,13,6,3,23.08,0,2,,2,0,1,Shkodran Mustafi,Arsenal,89894,42,DF
0,0,0,11,45.83,8,57.14,1,50,6,0,85.27,19,50,361,4,4,3,7,0,0,0,0,0,0,0,0,0,0,57,1,191,4,9,34.62,11,50,7,12,5,0,3,0,1,0,0,0,,0,0,0,Daley Blind,Manchester United,44864,35,DF
3,7,0,106,53,22,46.81,29,60.42,57,1,85.33,128,51.82,2742,20,38,19,31,0,0,0,0,20,2,0,0,0,0,408,1,1367,23,14,17.72,75,44.38,48,60,20,0,16,3,9,18.75,0,4,,0,0,0,Antonio Valencia,Manchester United,11820,35,DF
1,1,0,92,65.71,108,77.7,22,81.48,49,0,78.08,200,71.68,2888,21,19,17,34,0,0,0,0,46,4,0,0,0,0,112,0,798,6,1,9.09,85,47.75,61,230,7,0,20,8,5,5,0,1,,0,2,0,Kurt Zouma,Stoke City,139227,29,DF
1,1,0,51,67.11,80,58.82,0,0,32,2,71.45,131,61.79,1440,21,15,2,16,0,0,0,0,18,3,0,0,0,0,33,3,388,6,0,0,61,48.8,19,125,10,2,10,2,5,10,1,1,,1,0,0,Kevin Long,Burnley,96116,6,DF
5,3,0,77,57.89,62,49.6,6,54.55,54,2,89.53,139,53.88,2242,17,19,6,28,0,0,0,0,28,1,0,0,0,0,271,4,1539,13,6,19.35,45,45.45,56,74,27,0,22,8,5,22.73,1,2,,1,1,0,Nacho Monreal,Arsenal,17088,42,DF
2,7,0,117,54.17,19,47.5,29,55.77,53,4,79.53,136,53.13,2445,35,29,18,30,0,0,0,0,23,3,0,0,0,0,326,5,1022,26,34,28.1,95,43.78,57,72,29,0,18,4,10,11.11,1,1,,0,1,0,Ashley Young,Manchester United,10589,35,DF
2,4,0,32,56.14,104,63.41,0,0,26,1,88.46,136,61.54,2125,6,15,0,29,0,0,0,0,22,2,0,0,0,0,111,1,1595,6,2,50,91,48.4,38,142,10,1,14,4,4,14.29,0,1,,1,1,0,Dejan Lovren,Liverpool,39480,44,DF
1,2,0,30,57.69,17,68,4,100,17,0,86.15,47,61.04,1000,9,10,5,13,0,0,0,0,6,0,0,0,0,0,20,0,367,2,0,0,18,38.3,25,56,7,0,3,1,1,33.33,0,0,,0,1,0,Eric Bailly,Manchester United,606346,35,DF
0,0,0,42,79.25,56,65.88,5,100,26,0,93.4,98,71.01,2070,13,8,1,27,0,0,0,0,21,2,0,0,0,0,82,0,1260,4,0,0,62,70.45,38,104,5,1,12,1,2,0,2,1,,1,4,0,Andreas Christensen,Chelsea,186795,38,DF
1,3,0,47,55.95,57,73.08,3,75,35,0,88.7,104,64.2,1995,10,19,5,25,0,0,0,0,25,2,0,0,0,0,120,1,1468,5,0,0,91,51.12,35,96,12,2,11,2,2,9.09,1,1,,1,0,0,Joël Matip,Liverpool,51501,44,DF
1,3,0,58,53.21,5,22.73,20,62.5,37,1,77.34,63,48.09,1575,1,12,13,19,0,0,0,0,16,2,0,0,0,0,191,3,778,25,17,16.67,75,42.86,28,39,14,1,12,5,1,8.33,0,3,,0,1,0,Trent Alexander-Arnold,Liverpool,795064,44,DF
0,0,0,17,60.71,21,52.5,1,100,11,1,80.69,38,55.88,690,5,6,1,8,0,0,0,0,10,1,0,0,0,0,49,1,280,4,2,66.67,30,47.62,14,36,4,0,8,1,2,0,0,0,,0,1,0,José Fonte,West Ham United,27622,37,DF
0,2,1,91,61.07,70,67.96,26,68.42,47,6,87.76,161,63.89,2787,19,17,18,32,0,0,0,0,17,5,0,0,0,0,615,6,2073,30,5,8.93,87,51.18,29,67,13,1,13,1,3,0,0,2,,0,2,0,Kyle Walker,Manchester City,44614,17,DF
0,0,0,49,70,28,68.29,7,70,33,0,71.52,77,69.37,1047,10,5,5,13,0,0,0,0,12,2,0,0,0,0,61,0,221,3,2,20,12,27.91,32,64,8,0,2,0,0,0,0,0,,0,0,0,Terence Kongolo,Huddersfield Town,138837,59,DF
2,7,0,143,66.51,119,65.38,51,86.44,62,4,78.29,262,65.99,3420,30,34,18,38,0,0,0,0,48,12,0,0,0,0,203,5,1363,18,2,13.33,173,50.88,48,176,17,3,30,8,7,6.67,2,4,,0,1,0,Harry Maguire,Leicester City,149380,31,DF
0,1,0,59,65.56,10,38.46,6,66.67,35,0,84.38,69,59.48,1264,19,8,4,16,0,0,0,0,18,1,0,0,0,0,146,0,659,15,10,19.61,35,43.21,12,39,16,0,12,2,7,0,0,0,,0,0,0,Alberto Moreno,Liverpool,229740,44,DF
0,2,0,32,62.75,17,47.22,6,60,18,0,84.91,49,56.32,788,8,4,4,11,0,0,0,0,1,1,0,0,0,0,127,0,405,9,0,0,8,33.33,4,19,7,0,12,5,5,0,1,0,,0,1,0,Luke Shaw,Manchester United,190839,35,DF
0,4,0,80,55.17,83,57.24,13,86.67,61,2,86.25,163,56.21,2827,8,23,17,34,0,0,0,0,26,4,0,0,0,0,351,3,1939,15,5,19.23,164,62.84,48,82,25,1,32,7,9,0,1,1,,2,5,0,Eric Dier,Tottenham Hotspur,146101,33,DF
3,5,0,48,63.16,126,67.74,5,83.33,31,0,77.05,174,66.41,2928,12,16,8,33,0,0,0,0,28,3,0,0,0,0,85,0,913,6,0,0,79,38.73,28,229,7,1,12,8,0,25,0,0,,0,1,0,Jamaal Lascelles,Newcastle United,153444,39,DF
2,5,0,52,56.52,136,67,1,50,37,1,75.72,188,63.73,2766,19,22,7,34,0,0,0,0,46,7,0,0,0,0,85,1,1001,5,0,0,105,40.86,54,225,10,2,22,6,4,9.09,1,1,,3,1,0,Steve Cook,Bournemouth,42707,60,DF
0,1,1,65,57.02,73,54.07,9,100,38,0,89.45,138,55.42,2535,18,25,3,31,0,0,0,0,19,2,0,0,0,0,72,0,1670,4,1,33.33,121,55.5,38,159,22,1,9,1,3,0,0,0,,0,0,0,Davinson Sánchez,Tottenham Hotspur,566102,33,DF
0,0,0,13,52,2,33.33,4,50,5,2,82.47,15,48.39,188,4,1,5,3,0,0,0,0,3,1,0,0,0,0,27,2,80,3,2,22.22,3,75,3,6,2,0,0,0,0,0,0,0,,0,0,0,Kyle Walker-Peters,Tottenham Hotspur,823085,33,DF
0,0,0,21,55.26,33,75,4,100,15,0,95.83,54,65.85,1306,2,6,5,18,0,0,0,0,9,2,0,0,0,0,66,0,1194,0,0,0,61,71.76,19,41,7,2,11,4,1,0,1,0,,0,0,0,John Stones,Manchester City,152077,17,DF
0,3,0,89,63.57,32,50.79,23,88.46,56,2,84.38,121,59.61,1901,10,15,13,23,0,0,0,0,20,1,0,0,0,0,247,2,1129,17,10,22.22,49,45.79,36,47,21,1,5,0,2,0,0,1,,0,1,0,Joe Gomez,Liverpool,318927,44,DF
2,4,0,52,46.43,59,60.2,8,80,31,1,89.47,111,52.86,2336,14,26,17,27,0,0,0,0,20,2,0,0,0,0,154,1,1529,3,0,0,102,58.62,24,101,16,2,16,4,5,12.5,0,2,,0,1,0,Antonio Rüdiger,Chelsea,142622,38,DF
1,0,0,28,65.12,39,50.65,4,80,14,0,90.73,67,55.83,1449,12,7,2,19,0,0,0,0,13,2,0,0,0,0,86,0,1086,4,0,0,53,54.08,15,82,6,0,1,1,0,100,0,0,,0,1,0,Ragnar Klavan,Liverpool,10122,44,DF
0,3,0,57,60,82,61.65,12,92.31,32,2,76.77,139,60.96,2104,14,17,4,24,0,0,0,0,31,1,0,0,0,0,93,2,823,8,0,0,108,43.37,46,145,16,0,13,3,4,0,0,2,,0,0,1,Florian Lejeune,Newcastle United,88528,39,DF
2,4,0,89,59.73,103,55.08,22,75.86,58,0,73.02,192,57.14,3387,12,24,7,38,0,0,0,0,46,9,0,0,0,0,92,0,866,7,3,30,135,47.04,60,272,24,2,14,4,0,14.29,0,2,,1,1,0,Ahmed Hegazy,West Bromwich Albion,159653,8,DF
0,1,0,81,55.1,34,53.97,11,64.71,55,3,68.89,115,54.76,2295,18,19,10,26,0,0,0,0,24,2,0,0,0,0,157,3,567,14,15,21.13,72,36.73,39,109,32,0,4,1,1,0,0,1,,0,2,0,Matthew Lowton,Burnley,67507,6,DF
5,7,0,82,58.57,7,58.33,25,83.33,47,1,77.16,89,58.55,2185,10,18,18,28,0,0,0,0,32,6,0,0,0,0,207,3,679,18,13,23.21,39,36.11,47,56,18,2,33,11,9,15.15,0,3,,0,2,0,Patrick van Aanholt,Crystal Palace,74577,7,DF
1,2,0,53,60.92,154,66.67,3,100,36,1,67.32,207,65.09,2372,18,26,1,27,0,0,0,0,38,2,0,0,0,0,50,0,447,2,0,0,57,44.88,39,215,12,4,24,8,2,4.17,1,4,,1,0,0,Ryan Shawcross,Stoke City,27314,29,DF
0,7,0,100,66.67,60,53.57,25,92.59,60,1,78.91,160,61.07,2520,15,22,5,28,0,0,0,0,31,11,0,0,0,0,138,1,1044,9,1,16.67,142,46.86,40,172,24,4,15,2,3,0,2,0,,2,0,0,Wesley Hoedt,Southampton,336813,45,DF
2,1,0,50,64.1,14,41.18,8,57.14,25,3,80.11,64,57.14,1910,17,7,10,22,0,0,0,0,28,6,0,0,0,0,185,4,604,24,21,28,28,36.36,25,47,5,1,7,4,1,28.57,0,1,,0,0,0,Leighton Baines,Everton,9766,48,DF
1,3,0,18,56.25,47,58.02,1,100,15,0,72.75,65,57.52,1050,2,13,0,13,0,0,0,0,18,1,0,0,0,0,36,1,283,2,0,0,41,40.2,16,118,3,1,4,1,0,25,0,0,,1,0,0,James Collins,West Ham United,9729,37,DF
0,0,0,12,75,1,33.33,3,100,6,0,72.5,13,68.42,167,3,1,1,2,0,0,0,0,5,1,0,0,0,0,11,1,58,2,3,37.5,6,31.58,3,6,2,0,0,0,0,0,0,0,,0,1,0,Matt Targett,Southampton,368134,45,DF
0,0,0,3,60,8,72.73,0,0,3,0,68.42,11,68.75,151,0,1,0,2,0,0,0,0,3,0,0,0,0,0,9,0,52,0,0,0,10,45.45,2,15,0,0,0,0,0,0,0,0,,0,0,0,Younès Kaboul,Watford,1018,24,DF
2,3,0,65,60.19,122,62.24,24,88.89,32,1,81.12,187,61.51,3420,11,19,14,38,0,0,0,0,48,8,0,0,0,0,112,1,1414,5,1,50,189,54.94,37,222,11,3,20,6,3,10,0,1,,1,4,0,Alfie Mawson,Swansea City,313442,74,DF
1,1,0,34,68,41,53.95,6,75,21,2,85.54,75,59.52,1600,9,3,4,19,0,0,0,0,18,5,0,0,0,0,29,2,633,2,0,0,28,45.16,30,99,7,2,3,1,1,33.33,1,0,,1,2,0,Mamadou Sakho,Crystal Palace,21134,7,DF
2,2,1,42,55.26,66,63.46,2,100,27,0,84.18,108,60,2051,15,19,9,24,0,0,0,0,23,8,0,0,0,0,58,1,894,5,1,50,62,40,41,129,7,3,19,4,4,10.53,1,0,,0,2,0,Maya Yoshida,Southampton,24248,45,DF
1,4,1,34,54.84,17,51.52,3,60,18,0,85.37,51,53.68,839,15,12,4,10,0,0,0,0,13,0,0,0,0,0,48,0,420,1,0,0,40,52.63,24,41,10,0,11,4,2,9.09,0,0,,0,2,0,David Luiz,Chelsea,21300,38,DF
2,5,0,80,62.02,105,53.3,9,90,53,3,83.88,185,56.75,3353,19,27,6,38,0,0,0,0,52,7,0,0,0,0,117,2,1332,9,1,20,87,52.41,48,229,18,3,18,8,2,11.11,1,2,,0,2,0,Nathan Aké,Bournemouth,149663,60,DF
0,3,0,26,61.9,14,32.56,6,85.71,19,0,85.79,40,47.06,1177,1,8,0,14,0,0,0,0,11,2,0,0,0,0,141,0,785,3,2,28.57,111,57.81,4,50,7,0,10,1,1,0,0,0,,0,0,0,Toby Alderweireld,Tottenham Hotspur,44575,33,DF
0,2,0,4,44.44,14,77.78,0,0,3,0,80.87,18,66.67,234,1,5,1,5,0,0,0,0,4,0,0,0,0,0,10,0,93,2,0,0,7,38.89,4,21,0,0,2,0,0,0,0,0,,0,0,0,Kyle Bartley,Swansea City,40671,74,DF
0,1,0,71,55.91,23,39.66,2,50,61,2,77.95,94,50.81,1831,9,26,9,21,0,0,0,0,24,6,0,0,0,0,132,2,608,13,15,33.33,44,36.67,42,117,19,0,2,1,0,0,0,2,,0,2,0,Cuco Martina,Everton,73763,48,DF
1,5,0,62,59.62,72,53.33,1,25,40,1,82.31,134,56.07,2677,21,29,4,30,0,0,0,0,37,7,0,0,0,0,78,1,996,6,1,25,93,48.69,38,198,10,1,8,4,2,12.5,0,2,,0,1,0,Federico Fernández,Swansea City,38393,74,DF
0,2,0,9,32.14,5,55.56,3,37.5,5,1,85.64,14,37.84,361,1,6,6,7,0,0,0,0,0,1,0,0,0,0,65,1,161,9,8,20.51,2,40,8,8,2,0,5,1,1,0,0,0,,0,0,0,Benjamin Mendy,Manchester City,139225,17,DF
0,1,0,10,71.43,10,62.5,1,50,8,0,77.3,20,66.67,495,1,2,0,7,0,0,0,0,6,0,0,0,0,0,9,0,143,0,0,0,24,47.06,3,38,1,0,2,1,0,0,0,0,,0,0,0,Craig Cathcart,Watford,22200,24,DF
2,6,0,65,50.39,117,63.24,7,58.33,38,0,69.58,182,57.96,2509,22,35,8,28,0,0,0,0,33,6,0,0,0,0,127,1,629,10,14,33.33,61,32.45,52,134,23,2,16,4,5,12.5,0,4,,0,0,0,Craig Dawson,West Bromwich Albion,50027,8,DF
0,8,1,75,57.25,143,65.9,11,64.71,49,1,73.62,218,62.64,2707,15,24,10,32,0,0,0,0,42,5,0,0,0,0,229,1,1183,27,24,30.77,125,41.81,49,176,19,0,13,1,6,0,0,1,,2,2,0,Simon Francis,Bournemouth,15152,60,DF
2,5,0,61,56.48,103,69.13,3,100,42,0,74.75,164,63.81,2332,16,31,3,28,0,0,0,0,37,6,0,0,0,0,62,0,675,3,0,0,64,38.32,34,173,15,0,10,5,0,20,0,0,,0,0,0,Christian Kabasele,Watford,58351,24,DF
1,4,0,55,59.78,57,55.88,9,69.23,30,0,76.25,112,57.73,1949,18,22,5,24,0,0,0,0,23,4,0,0,0,0,53,2,655,5,3,37.5,74,38.34,39,122,8,1,10,5,3,10,0,0,,0,0,0,Mike van der Hoorn,Swansea City,152414,74,DF
0,0,0,52,61.18,15,57.69,25,69.44,14,1,73.31,67,60.36,1035,13,3,14,12,0,0,0,0,10,2,0,0,0,0,93,1,261,7,4,14.29,10,23.81,12,24,5,3,5,2,0,0,1,0,,1,1,0,Séamus Coleman,Everton,76632,48,DF
0,1,0,29,64.44,22,46.81,4,80,17,0,90.81,51,55.43,1284,9,10,2,17,0,0,0,0,12,2,0,0,0,0,60,1,682,2,0,0,30,57.69,13,64,5,0,1,0,1,0,0,0,,1,0,0,Victor Lindelöf,Manchester United,143334,35,DF
1,1,0,68,61.82,58,68.24,5,62.5,39,1,69.01,126,64.62,2462,29,11,6,28,0,0,0,0,26,1,0,0,0,0,175,2,637,16,15,18.29,69,32.86,42,102,22,0,6,1,1,16.67,0,3,,0,0,0,Stephen Ward,Burnley,20752,6,DF
0,3,0,49,51.58,128,59.53,7,100,33,1,77.77,177,57.1,2560,10,21,3,30,0,0,0,0,39,7,0,0,0,0,95,2,899,4,1,25,96,44.04,53,206,24,1,15,1,2,0,0,4,,0,0,0,Michael Keane,Everton,110846,48,DF
1,2,0,82,68.91,10,38.46,25,78.13,36,1,83.25,92,63.45,1714,21,7,13,23,0,0,0,0,29,5,0,0,0,0,204,3,661,18,15,25,28,39.44,34,30,13,0,9,3,2,11.11,0,2,,0,1,0,Kiko Femenía,Watford,53739,24,DF
0,2,0,47,65.28,67,61.47,1,50,33,0,75.88,114,62.98,2065,15,8,4,25,0,0,0,0,34,5,0,0,0,0,78,0,733,1,0,0,110,44.9,39,176,13,1,7,2,2,0,0,0,,0,1,0,Phil Jagielka,Everton,10507,48,DF
0,7,0,91,45.96,45,56.25,23,48.94,51,4,68.37,136,48.92,2381,18,37,22,28,0,0,0,0,43,4,0,0,0,0,181,6,655,39,44,20.95,55,33.54,29,81,26,0,17,3,7,0,0,1,,1,1,0,José Holebas,Watford,16779,24,DF
0,4,0,71,57.26,33,56.9,8,57.14,34,1,71.87,104,57.14,1616,29,25,10,19,0,0,0,0,19,6,0,0,0,0,139,1,488,8,10,21.74,40,31.5,29,60,12,0,5,1,1,0,0,1,,0,0,0,Joel Ward,Crystal Palace,39183,7,DF
0,3,0,42,60.87,33,44.59,8,66.67,23,0,67.37,75,52.45,1183,12,12,3,15,0,0,0,0,11,3,0,0,0,0,67,1,320,7,3,25,44,36.36,23,82,11,1,6,2,1,0,1,1,,1,1,0,Mason Holgate,Everton,781544,48,DF
0,5,0,36,47.37,29,51.79,3,60,17,0,67.46,65,49.24,1125,19,22,9,13,0,0,0,0,12,1,0,0,0,0,84,0,282,5,7,36.84,29,33.33,22,66,7,0,2,2,0,0,0,0,,0,0,0,Phil Bardsley,Burnley,768,6,DF
0,1,1,48,61.54,93,75,4,100,29,0,89.02,141,69.8,2084,17,17,3,27,0,0,0,0,23,1,0,0,0,0,106,0,1184,3,0,0,47,48.96,27,123,11,0,10,3,2,0,0,0,,1,0,0,Gary Cahill,Chelsea,9628,38,DF
1,7,0,54,49.09,57,54.29,5,35.71,34,7,77.14,111,51.63,3071,15,20,20,36,0,0,0,0,52,8,0,0,0,0,275,5,1002,35,35,17.86,98,40.33,44,110,11,0,21,6,6,4.76,2,3,,0,1,1,Aaron Cresswell,West Ham United,43443,37,DF
0,1,0,38,63.33,55,61.11,0,0,28,0,69.45,93,62,1603,11,8,2,20,0,0,0,0,18,0,0,0,0,0,95,0,416,7,3,13.64,39,38.24,23,92,13,0,4,0,1,0,0,0,,1,0,1,Paul Dummett,Newcastle United,185995,39,DF
0,3,0,53,57.61,28,56,15,75,30,0,82.01,81,57.04,2017,8,19,8,25,0,0,0,0,23,0,0,0,0,0,148,0,798,9,7,17.07,63,45.32,38,60,8,0,2,1,0,0,0,0,,0,0,0,Bruno Saltor,Brighton & Hove Albion,27839,30,DF
2,3,0,71,48.63,47,59.49,12,54.55,49,4,80.13,118,52.44,2152,10,32,16,27,0,0,0,0,29,1,0,0,0,0,316,6,1016,19,6,14.29,25,37.31,26,53,19,3,21,7,7,9.52,1,1,,0,0,0,Sead Kolašinac,Arsenal,142148,42,DF
1,3,0,55,66.27,80,52.29,9,81.82,30,0,79.76,135,57.2,2880,17,15,4,32,0,0,0,0,52,8,0,0,0,0,60,1,808,7,2,100,90,48.39,58,191,10,1,8,2,3,12.5,0,0,,0,1,0,Angelo Ogbonna,West Ham United,21164,37,DF
