team,rank,played,won,drawn,lost,gf,ga,gd,points,manager,captain,stadium,top_scorer_all_time,premier_league_titles,fa_cup_titles,league_cup_titles
Liverpool,1,38,25,9,4,86,41,45,84,Arne Slot,Virgil van Dijk,Anfield,Ian Rush (346 Goals),2,8,10
Arsenal,2,38,20,14,4,69,34,35,74,Mikel Arteta,Martin Ødegaard,Emirates Stadium,Thierry Henry (228 Goals),3,14,2
Manchester City,3,38,21,8,9,72,44,28,71,Pep Guardiola,Kevin De Bruyne,Etihad Stadium,Sergio Agüero (260 Goals),8,7,8
Chelsea,4,38,20,9,9,64,43,21,69,Enzo Maresca,Reece James,Stamford Bridge,Frank Lampard (211 Goals),5,8,5
Newcastle United,5,38,20,6,12,68,47,21,66,Eddie Howe,Bruno Guimarães,St. James' Park,Alan Shearer (206 Goals),0,6,1
Aston Villa,6,38,19,9,10,58,51,7,66,Unai Emery,John McGinn,Villa Park,Billy Walker (244 Goals),0,7,5
Nottingham Forest,7,38,19,8,11,58,46,12,65,Nuno Espírito Santo,Ryan Yates,City Ground,Grenville Morris (217 Goals),0,2,4
Brighton & Hove Albion,8,38,16,13,9,66,59,7,61,Fabian Hürzeler,Lewis Dunk,Amex Stadium,Tommy Cook (123 Goals),0,0,0
Bournemouth,9,38,15,11,12,58,46,12,56,Andoni Iraola,Adam Smith,Vitality Stadium,Ron Eyre (229 Goals),0,0,0
Brentford,10,38,16,8,14,66,57,9,56,Thomas Frank,Christian Nørgaard,Gtech Community Stadium,Jim Towers (163 Goals),0,0,0
Fulham,11,38,15,9,14,54,54,0,54,Marco Silva,Tom Cairney,Craven Cottage,Gordon Davies (178 Goals),0,0,0
Crystal Palace,12,38,13,14,11,51,51,0,53,Oliver Glasner,Marc Guéhi,Selhurst Park,Peter Simpson (165 Goals),0,1,0
Everton,13,38,11,15,12,42,44,-2,48,David Moyes,Séamus Coleman,Goodison Park,Dixie Dean (383 Goals),0,5,0
West Ham United,14,38,11,10,17,46,62,-16,43,Graham Potter,Jarrod Bowen,London Stadium,Vic Watson (326 Goals),0,3,0
Manchester United,15,38,11,9,18,44,54,-10,42,Ruben Amorim,Bruno Fernandes,Old Trafford,Wayne Rooney (253 Goals),13,13,6
Wolverhampton,16,38,12,6,20,54,69,-15,42,Vítor Pereira,Nélson Semedo,Molineux Stadium,Steve Bull (306 Goals),0,4,2
Tottenham Hotspur,17,38,11,5,22,64,65,-1,38,Ange Postecoglou,Son Heung-min,Tottenham Hotspur Stadium,Harry Kane (280 Goals),0,8,4
Leicester City,18,38,6,7,25,33,80,-47,25,Ruud van Nistelrooy,Jamie Vardy,King Power Stadium,Arthur Chandler (273 Goals),1,1,3
Ipswich Town,19,38,4,10,24,36,82,-46,22,Kieran McKenna,Sam Morsy,Portman Road,Ray Crawford (227 Goals),0,1,0
Southampton,20,38,2,6,30,26,86,-60,12,Ivan Jurić,Jack Stephens,St Mary's Stadium,Mick Channon (228 Goals),0,1,0
