team,rank,played,won,drawn,lost,gf,ga,gd,points,manager,captain,stadium,top_scorer_all_time,premier_league_titles,fa_cup_titles,league_cup_titles
Liverpool,1,38,32,3,3,85,33,52,99,Jürgen Klopp,Jordan Henderson,Anfield,Ian Rush,1,7,8
Manchester City,2,38,26,3,9,102,35,67,81,Pep Guardiola,David Silva,Etihad Stadium,Sergio Agüero,4,6,7
Manchester United,3,38,18,12,8,66,36,30,66,Ole Gunnar Solskjær,Harry Maguire,Old Trafford,Wayne Rooney,13,12,5
Chelsea,4,38,20,6,12,69,54,15,66,Frank Lampard,César Azpilicueta,Stamford Bridge,Frank Lampard,5,8,5
Leicester City,5,38,18,8,12,67,41,26,62,Brendan Rodgers,Wes Morgan,King Power Stadium,Arthur Chandler,1,0,3
Tottenham Hotspur,6,38,16,11,11,61,47,14,59,José Mourinho,Hugo Lloris,Tottenham Hotspur Stadium,Jimmy Greaves,0,8,4
Wolverhampton,7,38,15,14,9,51,40,11,59,Nuno Espírito Santo,Conor Coady,Molineux Stadium,Steve Bull,0,4,2
Arsenal,8,38,14,14,10,56,48,8,56,Mikel Arteta,Pierre-Emerick Aubameyang,Emirates Stadium,Thierry Henry,3,14,2
Sheffield United,9,38,14,12,12,39,39,0,54,Chris Wilder,Billy Sharp,Bramall Lane,Billy Sharp,0,4,0
Burnley,10,38,15,9,14,43,50,-7,54,Sean Dyche,Ben Mee,Turf Moor,George Beel,0,1,0
Southampton,11,38,15,7,16,51,60,-9,52,Ralph Hasenhüttl,James Ward-Prowse,St Mary's Stadium,Mick Channon,0,1,0
Everton,12,38,13,10,15,44,56,-12,49,Carlo Ancelotti,Séamus Coleman,Goodison Park,Dixie Dean,0,5,0
Newcastle United,13,38,11,11,16,38,58,-20,44,Steve Bruce,Jamaal Lascelles,St James' Park,Alan Shearer,0,6,0
Crystal Palace,14,38,11,10,17,31,50,-19,43,Roy Hodgson,Luka Milivojević,Selhurst Park,Peter Simpson,0,0,0
Brighton & Hove Albion,15,38,9,14,15,39,54,-15,41,Graham Potter,Lewis Dunk,Amex Stadium,Tommy Cook,0,0,0
West Ham United,16,38,10,9,19,49,62,-13,39,David Moyes,Mark Noble,London Stadium,Vic Walton,0,3,0
Aston Villa,17,38,9,8,21,41,67,-26,35,Dean Smith,Jack Grealish,Villa Park,Billy Walker,0,7,5
Bournemouth,18,38,9,7,22,40,65,-25,34,Eddie Howe,Simon Francis,Vitality Stadium,Ron Eyre,0,0,0
Watford,19,38,8,10,20,36,64,-28,34,Hayden Mullins,Troy Deeney,Vicarage Road,Luther Blissett,0,0,0
Norwich City,20,38,5,6,27,26,75,-49,21,Daniel Farke,Grant Hanley,Carrow Road,Johnny Gavin,0,0,2
