goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsOcnceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Position
1,1,0,23,60.53,25,65.79,2,66.67,13,0,92.51,48,63.16,1104,9,9,1,15,0,0,0,0,0,0,0,0,0,0,137,0,1062,3,0,0,59,60.82,20,26,5,0,4,2,1,25,0,0,,0,1,0,Aymeric Laporte,Manchester City,149734,17,DF
0,5,0,76,69.09,44,55,10,83.33,44,3,84.22,120,63.16,2058,25,17,6,27,0,0,0,0,0,0,0,0,0,0,65,3,891,4,1,50,113,58.85,34,94,10,2,11,5,1,0,0,1,,0,0,0,Mason Holgate,Everton,781544,48,DF
2,3,0,33,67.35,29,43.28,6,85.71,20,0,77.33,62,53.45,1188,7,9,1,14,0,0,0,0,0,0,0,0,0,0,25,0,249,1,0,0,28,49.12,11,79,6,2,6,4,1,33.33,0,0,,0,0,0,Ciaran Clark,Newcastle United,45680,39,DF
2,3,0,39,56.52,57,59.38,3,75,28,0,86.8,96,58.18,1710,8,19,3,20,0,0,0,0,0,0,0,0,0,0,145,2,1295,5,1,14.29,113,51.83,16,56,9,0,12,3,3,16.67,0,0,,1,0,0,Antonio Rüdiger,Chelsea,142622,38,DF
0,1,0,21,70,49,64.47,1,100,13,1,83.24,70,66.04,777,8,4,0,10,0,0,0,0,0,0,0,0,0,0,44,1,566,1,0,0,28,32.56,10,41,5,0,5,1,1,0,0,0,,0,0,0,Dejan Lovren,Liverpool,39480,44,DF
0,7,0,66,57.39,30,56.6,22,70.97,34,0,87.4,96,57.14,1739,10,23,3,24,0,0,0,0,0,0,0,0,0,0,295,1,999,20,9,23.68,13,31.71,24,51,14,1,11,5,4,0,0,4,,0,1,0,Luke Shaw,Manchester United,190839,35,DF
1,8,1,80,61.54,127,64.14,6,75,48,1,86.83,207,63.11,3390,27,35,3,38,0,0,0,0,0,0,0,0,0,0,177,0,2163,8,1,12.5,116,43.45,57,171,11,3,23,8,1,4.35,0,2,,0,4,0,Jonny Evans,Leicester City,30144,31,DF
0,3,0,114,60.64,30,48.39,14,56,83,4,78.59,144,57.6,1820,19,24,12,25,0,0,0,0,0,0,0,0,0,0,196,4,745,19,18,26.47,54,56.25,40,33,29,0,12,3,5,0,0,2,,0,0,0,Djibril Sidibé,Everton,123388,48,DF
0,2,0,23,52.27,65,75.58,3,100,17,1,81.87,88,67.69,1205,3,14,1,15,0,0,0,0,0,0,0,0,0,0,54,1,691,3,1,50,48,46.15,18,70,6,0,11,4,2,0,0,0,,0,0,0,Shkodran Mustafi,Arsenal,89894,42,DF
1,1,0,28,58.33,33,58.93,3,60,20,0,86.6,61,58.65,911,5,11,4,12,0,0,0,0,0,0,0,0,0,0,22,0,433,1,1,33.33,19,39.58,17,62,3,0,7,2,1,14.29,0,1,,1,0,0,Chris Mepham,Bournemouth,865740,60,DF
2,3,0,56,67.47,114,61.96,6,75,39,1,83.76,170,63.67,2287,12,20,0,29,0,0,0,0,0,0,0,0,0,0,67,2,1140,7,0,0,108,52.43,28,98,6,2,29,11,6,6.9,0,2,,0,1,0,Yerry Mina,Everton,360396,48,DF
1,3,0,44,69.84,34,54.84,9,75,29,0,87.4,78,62.4,1293,6,7,4,15,0,0,0,0,0,0,0,0,0,0,66,0,1006,4,1,25,42,41.18,22,42,5,2,7,3,1,14.29,0,1,,0,2,0,Fikayo Tomori,Chelsea,788255,38,DF
0,6,0,44,51.16,106,73.61,8,66.67,23,0,88.46,150,65.22,2343,14,30,5,28,0,0,0,0,0,0,0,0,0,0,117,0,1840,1,0,0,139,55.82,58,112,7,2,15,5,1,0,0,1,,0,2,0,Kurt Zouma,Chelsea,139227,38,DF
2,7,0,44,55,73,50,0,0,40,2,81.7,117,51.77,2958,4,18,5,33,0,0,0,0,0,0,0,0,0,0,164,2,1616,12,4,44.44,141,39.5,31,170,13,0,16,4,3,12.5,0,1,,0,2,1,Toby Alderweireld,Tottenham Hotspur,44575,33,DF
2,2,0,45,69.23,62,49.6,3,100,31,2,87.6,107,56.32,2505,13,9,5,29,0,0,0,0,0,0,0,0,0,0,79,2,1060,7,0,0,53,48.62,36,147,9,1,25,7,6,8,1,3,,0,0,0,Nathan Aké,Bournemouth,149663,60,DF
1,5,0,66,50,30,47.62,23,74.19,28,4,88.55,96,49.23,2395,15,27,15,29,0,0,0,0,0,0,0,0,0,0,506,1,1717,18,10,18.52,125,64.77,28,35,17,1,14,3,5,7.14,0,3,,0,1,0,Kyle Walker,Manchester City,44614,17,DF
0,1,0,63,62.38,22,40,8,47.06,36,1,82.55,85,54.49,1010,20,8,12,13,0,0,0,0,0,0,0,0,0,0,144,1,563,13,7,18.92,20,32.79,11,24,10,0,7,0,1,0,1,1,,0,0,1,James Justin,Leicester City,827681,31,DF
0,4,0,45,69.23,44,70.97,2,66.67,24,0,82.83,89,70.08,1262,20,12,2,15,0,0,0,0,0,0,0,0,0,0,21,0,545,0,0,0,32,38.1,31,76,6,0,8,2,1,0,0,0,,0,1,0,Grant Hanley,Norwich City,95791,263,DF
2,10,1,85,57.05,120,63.83,7,70,55,1,78.44,205,60.83,2706,24,43,5,33,0,0,0,0,0,0,0,0,0,0,140,2,1277,12,1,11.11,134,43.65,55,121,14,5,24,8,5,8.33,0,2,,0,3,0,Romain Saïss,Wolverhampton,187729,3,DF
1,5,0,40,51.28,37,54.41,11,64.71,26,1,82.41,77,52.74,1103,4,18,10,14,0,0,0,0,0,0,0,0,0,0,105,4,656,7,4,11.76,35,39.77,16,41,5,0,12,2,4,8.33,0,0,,0,1,0,Calum Chambers,Arsenal,227942,42,DF
2,3,1,64,56.14,134,62.91,1,50,44,0,80.23,198,60.55,3189,20,34,0,36,0,0,0,0,0,0,0,0,0,0,73,1,1035,1,0,0,111,48.26,58,165,20,2,27,5,14,7.41,0,1,,1,3,0,John Egan,Sheffield United,100578,15,DF
0,4,0,138,63.89,109,63.74,24,64.86,85,1,74.7,247,63.82,3255,31,26,8,38,0,0,0,0,0,0,0,0,0,0,237,2,983,12,6,11.76,70,35.71,77,167,33,0,6,0,0,0,0,5,,1,0,0,Chris Basham,Sheffield United,33854,15,DF
0,1,0,27,56.25,18,62.07,6,85.71,17,0,81.09,45,58.44,526,4,8,5,6,0,0,0,0,0,0,0,0,0,0,21,0,163,1,0,0,6,46.15,11,29,7,0,3,1,1,0,0,0,,1,1,0,Japhet Tanganga,Tottenham Hotspur,836693,33,DF
2,3,0,39,55.71,130,59.09,1,100,31,0,82.79,169,58.28,2556,8,20,4,31,0,0,0,0,0,0,0,0,0,0,75,1,1198,6,0,0,91,47.4,44,150,10,2,14,4,1,14.29,1,0,,0,0,0,Michael Keane,Everton,110846,48,DF
2,6,0,41,54.67,59,67.82,5,100,25,0,87.95,100,61.73,1697,12,19,5,19,0,0,0,0,0,0,0,0,0,0,48,2,905,2,0,0,70,48.61,17,67,11,1,7,2,2,28.57,1,1,,1,0,0,Sokratis Papastathopoulos,Arsenal,2322979,42,DF
0,1,0,13,52,6,66.67,6,54.55,5,0,80.84,19,55.88,230,2,5,1,6,0,0,0,0,0,0,0,0,0,0,36,0,135,2,4,28.57,11,47.83,9,3,1,0,7,1,5,0,0,0,,0,0,0,Neco Williams,Liverpool,927356,44,DF
0,4,0,47,50.54,135,67.16,9,56.25,23,1,73.54,182,61.9,2915,17,22,10,33,0,0,0,0,0,0,0,0,0,0,238,6,1145,16,11,21.57,125,37.54,42,144,10,0,14,3,3,0,0,2,,1,0,0,Jack O'Connell,Sheffield United,282649,15,DF
2,0,0,75,60.48,22,57.89,21,65.63,37,2,76.92,97,59.88,1498,17,10,7,19,0,0,0,0,0,0,0,0,0,0,91,2,330,16,5,15.63,9,30,17,38,21,0,14,6,5,14.29,0,1,,0,1,1,Jetro Willems,Newcastle United,138828,39,DF
1,2,1,154,55.6,70,52.24,39,60.94,93,5,79.08,224,54.5,2705,22,41,28,33,0,0,0,0,0,0,0,0,0,0,280,4,1013,33,20,14.6,33,38.37,47,84,30,0,13,4,6,7.69,0,6,,1,1,0,Serge Aurier,Tottenham Hotspur,105697,33,DF
1,5,0,40,65.57,60,65.22,1,50,29,1,79.43,100,65.36,1584,10,14,1,18,0,0,0,0,0,0,0,0,0,0,37,0,533,2,0,0,46,38.66,21,99,7,2,9,3,0,11.11,0,1,,0,0,0,James Tomkins,Crystal Palace,32124,7,DF
0,7,0,42,52.5,70,58.82,8,72.73,23,0,88.03,112,56.28,2013,13,21,3,28,0,0,0,0,0,0,0,0,0,0,144,0,1750,5,3,33.33,104,48.83,38,59,11,0,1,0,1,0,0,0,,0,2,0,Joe Gomez,Liverpool,318927,44,DF
