goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsOcnceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Position
1,6,0,52,54.17,10,52.63,16,72.73,21,0,84.39,62,53.91,1004,15,13,7,17,0,0,0,0,0,0,0,0,0,0,137,0,465,13,3,25,16,39.02,16,14,20,1,6,2,1,16.67,0,1,,0,0,0,Brandon Williams,Manchester United,927368,35,DF
0,4,0,106,64.63,51,63.75,8,53.33,69,0,71.22,157,64.34,2390,29,24,12,29,0,0,0,0,0,0,0,0,0,0,177,0,683,5,5,13.89,44,31.43,48,82,17,0,5,1,1,0,1,0,,1,0,0,Joel Ward,Crystal Palace,39183,7,DF
0,2,0,42,55.26,3,27.27,15,65.22,9,1,84.27,45,51.72,620,18,13,7,9,0,0,0,0,0,0,0,0,0,0,35,3,150,8,3,13.04,2,16.67,16,15,7,0,2,0,1,0,0,0,,0,0,1,Tariq Lamptey,Brighton & Hove Albion,914691,30,DF
0,3,0,46,67.65,27,55.1,5,71.43,32,1,78.97,73,62.39,1431,9,9,4,17,0,0,0,0,0,0,0,0,0,0,29,0,522,2,0,0,46,38.98,19,87,9,0,6,1,1,0,0,0,,0,2,0,Christoph Zimmermann,Norwich City,142568,263,DF
0,0,0,11,64.71,9,37.5,1,100,8,0,87.89,20,48.78,299,3,4,0,4,0,0,0,0,0,0,0,0,0,0,6,0,196,0,0,0,13,46.43,2,11,2,0,0,0,0,0,0,0,,0,0,0,Jarrad Branthwaite,Everton,979563,48,DF
0,0,0,9,75,15,78.95,0,0,5,0,80,24,77.42,247,4,1,0,6,0,0,0,0,0,0,0,0,0,0,3,0,60,0,1,100,4,40,4,19,2,0,0,0,0,0,0,0,,0,0,0,Phil Jagielka,Sheffield United,10507,15,DF
0,0,0,12,50,28,54.9,1,100,7,0,74,40,53.33,562,6,9,0,8,0,0,0,0,0,0,0,0,0,0,6,0,148,0,0,0,11,34.38,4,30,5,1,2,0,1,0,0,0,,0,0,0,Kevin Long,Burnley,96116,6,DF
0,6,0,45,43.27,45,68.18,9,50,28,0,76.63,90,52.94,1438,8,27,9,18,0,0,0,0,0,0,0,0,0,0,125,2,610,9,10,34.48,25,31.25,22,41,14,0,7,1,4,0,1,1,,0,0,0,Ben Davies,Tottenham Hotspur,94758,33,DF
0,1,0,14,50,11,35.48,6,75,6,0,93.13,25,42.37,794,2,9,0,13,0,0,0,0,0,0,0,0,0,0,46,0,678,2,1,100,26,60.47,18,31,4,1,2,1,0,0,0,0,,0,0,0,Eric García,Manchester City,876214,17,DF
1,4,0,77,55.4,127,72.99,2,100,65,1,75.28,204,65.18,3058,12,33,1,34,0,0,0,0,0,0,0,0,0,0,67,1,1157,3,0,0,85,36.8,77,193,30,1,7,1,1,14.29,0,0,,3,1,0,Jan Bednarek,Southampton,286085,45,DF
0,5,0,98,48.51,141,72.68,19,47.5,67,0,74.06,239,60.35,2881,15,32,25,34,0,0,0,0,0,0,0,0,0,0,244,2,1162,19,10,19.61,45,25.14,42,122,28,3,12,0,3,0,1,3,,0,0,0,Dan Burn,Brighton & Hove Albion,99090,30,DF
0,7,0,113,58.55,36,50,11,35.48,82,3,74.07,149,56.23,2237,21,25,12,27,0,0,0,0,0,0,0,0,0,0,188,3,634,21,15,25.42,31,29.25,24,64,23,0,3,0,2,0,0,0,,0,1,0,Ryan Fredericks,West Ham United,106920,37,DF
0,7,0,116,52.73,48,41.38,23,47.92,74,2,68.89,164,48.81,2041,21,36,14,25,0,0,0,0,0,0,0,0,0,0,147,1,516,14,15,16.48,40,33.06,49,62,31,0,8,3,2,0,0,2,,0,2,0,Frédéric Guilbert,Aston Villa,372430,40,DF
2,0,0,14,53.85,10,58.82,4,80,8,0,69.04,24,55.81,441,4,6,2,6,0,0,0,0,0,0,0,0,0,0,5,0,136,1,0,0,14,32.56,10,13,3,0,4,3,0,50,0,0,,2,0,0,Florian Lejeune,Newcastle United,88528,39,DF
1,1,0,30,50,30,58.82,7,63.64,19,1,79.72,60,54.05,1033,5,13,2,18,0,0,0,0,0,0,0,0,0,0,115,3,397,22,19,32.76,33,55,13,22,11,0,5,1,1,20,0,2,,0,1,0,Ahmed Elmohamady,Aston Villa,32787,40,DF
0,3,1,39,58.21,66,61.11,8,66.67,22,0,87.89,105,60,2646,9,15,4,30,0,0,0,0,0,0,0,0,0,0,94,0,1459,3,0,0,95,48.97,25,148,8,1,15,6,0,0,2,0,,0,3,0,Ben Godfrey,Norwich City,754698,263,DF
0,1,2,59,59,62,55.86,9,90,37,2,72.69,121,57.35,2252,14,22,5,27,0,0,0,0,0,0,0,0,0,0,36,1,487,6,0,0,59,41.84,36,124,15,1,9,1,5,0,0,0,,0,0,0,Christian Kabasele,Watford,58351,24,DF
0,0,0,4,66.67,13,65,1,100,2,0,83.51,17,65.38,135,1,3,0,2,0,0,0,0,0,0,0,0,0,0,11,0,81,0,0,0,3,37.5,2,9,0,0,2,1,0,0,0,0,,1,0,0,Phil Jones,Manchester United,93868,35,DF
0,1,0,9,47.37,16,53.33,2,50,4,0,87.18,25,51.02,581,3,4,2,8,0,0,0,0,0,0,0,0,0,0,16,0,306,0,0,0,20,50,5,43,2,0,2,0,0,0,0,0,,0,1,0,Rob Holding,Arsenal,793228,42,DF
2,5,2,46,48.94,52,55.32,5,62.5,28,1,85.1,98,52.13,2811,14,30,5,33,0,0,0,0,0,0,0,0,0,0,126,2,1531,4,3,60,161,49.09,32,126,11,0,23,8,4,8.7,0,1,,2,0,0,David Luiz,Arsenal,21300,42,DF
0,5,0,29,46.77,66,61.11,4,100,21,2,80.74,95,55.88,1347,4,19,4,19,0,0,0,0,0,0,0,0,0,0,66,0,738,7,0,0,47,41.96,21,61,10,2,8,1,0,0,1,1,,0,0,0,Eric Dier,Tottenham Hotspur,146101,33,DF
0,3,0,38,40.86,15,44.12,19,70.37,18,2,88.4,53,41.73,1496,1,12,17,19,0,0,0,0,0,0,0,0,0,0,309,2,975,20,22,25.58,32,50.79,16,17,18,0,10,1,7,0,1,1,,2,1,0,Benjamin Mendy,Manchester City,139225,17,DF
1,6,1,38,58.46,115,63.54,3,100,22,0,79.23,153,62.2,2430,15,16,3,29,0,0,0,0,0,0,0,0,0,0,62,1,1007,4,0,0,78,38.42,44,151,12,0,11,2,4,9.09,1,1,,0,1,0,Steve Cook,Bournemouth,42707,60,DF
0,2,0,60,64.52,22,61.11,9,60,41,1,68.6,82,63.57,1530,10,14,2,17,0,0,0,0,0,0,0,0,0,0,109,2,378,11,9,20,41,30.15,27,52,11,0,1,0,0,0,0,0,,1,0,0,Matthew Lowton,Burnley,67507,6,DF
0,1,0,51,51.52,7,41.18,20,45.45,23,0,76.86,58,50,658,8,7,14,16,0,0,0,0,0,0,0,0,0,0,43,2,186,4,9,30,6,20,11,15,3,0,5,0,1,0,0,0,,0,0,0,Rúben Vinagre,Wolverhampton,846441,3,DF
0,7,0,47,61.04,67,55.83,4,57.14,41,0,80.63,114,57.87,2490,2,13,3,29,0,0,0,0,0,0,0,0,0,0,40,0,737,2,1,100,66,44.9,25,133,14,0,2,1,1,0,0,0,,0,1,0,Craig Cathcart,Watford,22200,24,DF
0,2,0,34,73.91,28,46.67,1,50,27,0,71.71,62,58.49,1235,6,4,1,16,0,0,0,0,0,0,0,0,0,0,61,0,322,4,2,13.33,25,25.51,23,61,6,0,2,2,0,0,0,0,,0,0,0,Paul Dummett,Newcastle United,185995,39,DF
1,1,0,16,57.14,55,67.07,1,100,11,0,84.23,71,64.55,1447,5,5,2,17,0,0,0,0,0,0,0,0,0,0,52,0,545,2,1,50,49,50.52,28,85,5,0,8,1,0,12.5,0,1,,1,2,0,Björn Engels,Aston Villa,192266,40,DF
0,0,0,4,40,7,46.67,2,50,1,0,87.57,11,44,270,1,1,1,3,0,0,0,0,0,0,0,0,0,0,33,1,155,3,0,0,4,44.44,3,10,2,0,1,0,0,0,0,2,,0,0,0,Nacho Monreal,Arsenal,17088,42,DF
1,3,0,58,46.03,68,67.33,9,56.25,38,0,63.27,126,55.51,1836,12,26,12,26,0,0,0,0,0,0,0,0,0,0,117,0,441,12,14,20.29,46,29.49,28,59,23,1,15,3,2,6.67,0,2,,0,0,1,Adam Masina,Watford,259995,24,DF
0,3,1,99,63.06,29,59.18,38,65.52,42,1,78.03,128,62.14,1845,19,19,14,27,0,0,0,0,0,0,0,0,0,0,164,2,643,10,3,6.98,33,35.87,24,36,6,1,8,4,2,0,0,1,,1,0,1,Séamus Coleman,Everton,76632,48,DF
1,4,1,63,59.43,50,43.1,7,63.64,44,3,72.41,113,50.9,2453,13,14,4,28,0,0,0,0,0,0,0,0,0,0,97,2,924,8,0,0,100,34.25,31,114,22,1,6,2,0,16.67,1,0,,1,1,0,Jack Stephens,Southampton,134361,45,DF
3,7,0,71,50,45,52.94,11,32.35,43,0,74.58,116,51.1,2730,17,16,10,31,0,0,0,0,0,0,0,0,0,0,317,4,933,26,26,20.47,67,35.08,35,59,23,1,17,5,3,17.65,0,2,,0,2,0,Aaron Cresswell,West Ham United,43443,37,DF
3,8,0,43,49.43,79,66.39,5,71.43,27,1,78.03,122,59.22,2773,11,31,5,32,0,0,0,0,0,0,0,0,0,0,69,3,760,5,0,0,49,31.01,47,164,9,2,15,7,1,20,0,1,,1,1,0,Issa Diop,West Ham United,825719,37,DF
2,4,0,151,48.55,35,40.7,32,45.07,91,2,81.32,186,46.85,2897,28,34,36,35,0,0,0,0,0,0,0,0,0,0,312,1,884,25,9,16.67,20,39.22,53,29,53,1,18,5,7,11.11,0,2,,1,1,2,Jonny Otto,Wolverhampton,235648,3,DF
0,4,0,60,56.07,28,59.57,16,76.19,29,2,85.56,88,57.14,1710,16,20,11,26,0,0,0,0,0,0,0,0,0,0,171,2,770,10,6,20.69,21,45.65,25,33,11,0,4,0,1,0,0,5,,0,1,0,Sead Kolašinac,Arsenal,142148,42,DF
0,0,0,0,0,3,75,0,0,0,0,54.55,3,60,57,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,,0,0,0,Sebastian Prödl,Watford,15038,24,DF
0,0,0,5,83.33,12,54.55,1,100,4,0,77.23,17,60.71,191,0,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,78,0,0,0,2,18.18,4,7,0,0,0,0,0,0,0,0,,0,0,0,Max Kilman,Wolverhampton,894474,3,DF
1,3,0,55,62.5,49,51.58,7,70,18,2,78.14,104,56.83,2042,32,17,5,25,0,0,0,0,0,0,0,0,0,0,69,2,604,11,6,46.15,34,29.82,25,66,9,2,11,4,3,9.09,0,1,,1,1,0,Ezri Konsa,Aston Villa,827679,40,DF
0,5,0,63,58.33,16,50,13,52,39,1,75.37,79,56.43,1599,11,18,2,21,0,0,0,0,0,0,0,0,0,0,86,0,358,5,5,11.11,17,27.42,18,48,14,0,1,0,1,0,0,1,,0,0,0,Javier Manquillo,Newcastle United,210082,39,DF
0,3,1,18,45,48,60,4,57.14,13,0,75.58,66,55,965,1,7,2,15,0,0,0,0,0,0,0,0,0,0,49,1,393,5,3,18.75,30,32.26,20,66,10,0,3,0,3,0,0,0,,0,0,1,Simon Francis,Bournemouth,15152,60,DF
0,2,0,47,52.81,27,57.45,16,69.57,21,2,74.04,74,54.41,1541,10,10,11,19,0,0,0,0,0,0,0,0,0,0,113,4,445,10,4,11.11,28,32.18,18,54,14,1,5,2,0,0,0,1,,0,1,0,Jack Stacey,Bournemouth,583450,60,DF
0,2,0,77,50.66,33,64.71,4,33.33,54,4,72.08,110,54.19,1877,20,21,6,24,0,0,0,0,0,0,0,0,0,0,119,5,537,18,11,26.83,29,29.9,28,48,41,0,14,3,1,0,0,0,,0,1,0,Erik Pieters,Burnley,17063,6,DF
0,5,0,81,49.39,22,53.66,10,34.48,57,1,76.49,103,50.24,1900,15,27,11,27,0,0,0,0,0,0,0,0,0,0,225,3,768,21,13,29.55,48,47.52,24,31,26,2,8,3,2,0,0,4,,0,0,0,Martín Montoya,Brighton & Hove Albion,99517,30,DF
0,0,0,6,46.15,20,55.56,2,100,4,0,88.93,26,53.06,446,1,4,1,11,0,0,0,0,0,0,0,0,0,0,2,0,217,0,0,0,7,53.85,7,19,3,1,4,2,1,0,0,0,,0,0,0,Wes Morgan,Leicester City,20375,31,DF
0,0,0,28,45.9,33,56.9,5,50,23,1,70.53,61,51.26,1550,0,8,3,19,0,0,0,0,0,0,0,0,0,0,53,1,402,6,6,30,32,32,16,74,17,0,2,0,0,0,0,0,,1,0,0,Martin Kelly,Crystal Palace,39472,7,DF
0,0,0,16,47.06,19,51.35,2,40,14,0,80.82,35,49.3,777,0,2,2,11,0,0,0,0,0,0,0,0,0,0,78,0,455,2,2,12.5,26,35.62,17,23,11,0,5,1,1,0,0,1,,1,0,0,Christian Fuchs,Leicester City,1262,31,DF
0,4,1,77,55.4,12,46.15,27,61.36,41,1,80.32,89,53.94,948,9,10,19,17,0,0,0,0,0,0,0,0,0,0,85,2,404,7,5,20,17,36.96,14,22,16,0,5,2,0,0,0,0,,0,0,0,Arthur Masuaku,West Ham United,174975,37,DF
0,4,0,54,52.94,43,52.44,6,40,40,0,77.83,97,52.72,1294,8,16,5,17,0,0,0,0,0,0,0,0,0,0,135,0,495,6,1,14.29,15,25.86,26,61,19,4,15,2,5,0,1,1,,0,0,0,Sam Byram,Norwich City,254713,263,DF
0,7,0,93,59.24,20,52.63,15,51.72,39,0,79.33,113,57.95,1759,40,25,6,23,0,0,0,0,0,0,0,0,0,0,161,1,664,14,10,22.22,20,27.4,18,41,20,0,2,0,1,0,0,0,,2,1,0,Danny Rose,Newcastle United,16586,39,DF
3,3,0,48,40,21,42.86,4,28.57,26,1,77.31,69,40.83,1275,18,21,21,24,0,0,0,0,0,0,0,0,0,0,126,2,402,10,2,66.67,17,48.57,20,22,21,2,13,6,4,23.08,0,2,,0,0,0,Dan Gosling,Bournemouth,19343,60,DF
0,2,0,29,64.44,8,40,2,66.67,18,0,75.5,37,56.92,596,9,7,1,10,0,0,0,0,0,0,0,0,0,0,50,1,188,3,1,6.25,6,26.09,14,16,7,0,0,0,0,0,0,0,,0,0,0,Pablo Zabaleta,West Ham United,11796,37,DF
3,2,0,43,44.79,20,45.45,13,54.17,18,1,75.8,63,45,1034,12,17,16,17,0,0,0,0,0,0,0,0,0,0,91,2,238,7,2,22.22,9,30,13,10,10,2,18,10,6,16.67,0,1,,0,0,0,Jeffrey Schlupp,Crystal Palace,148710,7,DF
1,2,0,41,41.41,13,44.83,18,58.06,20,0,82.11,54,42.19,1159,3,15,12,15,0,0,0,0,0,0,0,0,0,0,112,1,468,3,2,7.41,14,58.33,19,24,18,0,7,2,2,14.29,0,1,,0,1,0,Héctor Bellerín,Arsenal,188365,42,DF
0,2,0,10,41.67,28,53.85,0,0,9,0,78.98,38,50,939,1,7,1,16,0,0,0,0,0,0,0,0,0,0,59,0,342,3,2,33.33,23,35.38,16,36,6,0,1,0,0,0,0,0,,0,0,1,Ryan Bennett,Leicester City,22100,31,DF
1,3,1,90,50.28,59,50.43,11,45.83,47,1,76,149,50.34,2744,33,27,21,32,0,0,0,0,0,0,0,0,0,0,284,4,934,30,36,29.51,43,35.54,37,28,32,1,18,3,4,5.56,0,1,,0,1,0,Ryan Bertrand,Southampton,20756,45,DF
0,5,0,99,53.23,13,50,19,59.38,68,0,78.59,112,52.83,2241,12,26,11,28,0,0,0,0,0,0,0,0,0,0,209,1,749,18,20,28.99,37,38.54,36,46,37,0,5,1,1,0,0,1,,0,0,0,Kiko Femenía,Watford,53739,24,DF
0,0,0,1,25,8,100,1,100,0,0,89.74,9,75,155,0,2,1,4,0,0,0,0,0,0,0,0,0,0,2,0,70,0,0,0,4,66.67,4,7,1,0,0,0,0,0,0,0,,0,1,0,Eric Bailly,Manchester United,606346,35,DF
0,7,0,145,53.7,22,30.56,48,48.48,48,1,78.86,167,48.83,3240,49,29,31,36,0,0,0,0,0,0,0,0,0,0,250,7,1056,23,16,21.92,38,24.84,37,73,18,0,14,4,6,0,0,3,,0,1,0,Max Aarons,Norwich City,943645,263,DF
0,4,1,73,51.41,17,58.62,19,55.88,41,2,81.9,90,52.63,1383,13,15,18,20,0,0,0,0,0,0,0,0,0,0,132,2,688,11,6,33.33,35,44.3,28,32,21,1,4,1,1,0,0,0,,0,0,0,Ainsley Maitland-Niles,Arsenal,352768,42,DF
0,0,0,14,56,17,44.74,2,66.67,8,0,84.73,31,49.21,585,7,8,1,7,0,0,0,0,0,0,0,0,0,0,10,0,333,0,0,0,15,38.46,7,27,4,1,3,0,2,0,0,0,,0,0,0,Timm Klose,Norwich City,70153,263,DF
1,2,0,20,47.62,54,59.34,2,100,17,0,71.57,74,55.64,1176,2,6,1,17,0,0,0,0,0,0,0,0,0,0,29,1,360,1,0,0,35,31.53,26,71,16,0,10,4,2,10,0,0,,2,1,0,Fabián Balbuena,West Ham United,339447,37,DF
0,0,0,28,59.57,8,47.06,4,66.67,18,1,77.2,36,56.25,1026,7,4,3,17,0,0,0,0,0,0,0,0,0,0,49,1,254,1,1,5,10,33.33,8,40,11,1,4,0,1,0,0,0,,0,0,0,Emil Krafth,Newcastle United,150396,39,DF
0,1,0,2,18.18,1,33.33,1,50,1,0,84.38,3,21.43,136,0,5,0,3,0,0,0,0,0,0,0,0,0,0,12,0,54,2,1,50,3,75,4,1,3,0,1,0,0,0,0,1,,0,0,0,Timothy Fosu-Mensah,Manchester United,795260,35,DF
1,4,0,108,57.45,7,24.14,34,52.31,51,0,78.93,115,53,2303,23,15,21,28,0,0,0,0,0,0,0,0,0,0,172,1,824,15,10,22.73,31,29.81,25,55,14,0,9,4,2,11.11,0,2,,0,0,0,Jamal Lewis,Norwich City,891803,263,DF
0,0,0,12,54.55,6,54.55,4,66.67,6,0,77.36,18,54.55,342,2,4,1,6,0,0,0,0,0,0,0,0,0,0,42,0,123,2,1,7.69,4,36.36,3,10,3,0,1,0,1,0,0,2,,0,0,0,Ryan Sessegnon,Tottenham Hotspur,836698,33,DF
0,2,0,11,50,11,35.48,2,100,7,0,80.1,22,41.51,638,2,7,3,8,0,0,0,0,0,0,0,0,0,0,17,0,161,2,1,16.67,10,34.48,6,15,1,0,1,0,1,0,0,0,,1,0,0,Lloyd Kelly,Bournemouth,865167,60,DF
0,0,0,2,40,2,50,1,100,1,0,81.36,4,44.44,122,0,2,1,6,0,0,0,0,0,0,0,0,0,0,7,0,48,0,0,0,4,40,2,1,0,0,0,0,0,0,0,0,,0,0,0,Carlos Sánchez,West Ham United,26995,37,DF
0,7,0,110,55,35,54.69,24,47.06,47,1,79.55,145,54.92,2060,40,25,14,24,0,0,0,0,0,0,0,0,0,0,204,2,669,10,6,21.43,26,29.21,25,48,27,1,4,1,1,0,0,2,,0,1,0,Adam Smith,Bournemouth,44566,60,DF
0,0,0,0,0,0,0,0,0,0,0,100,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,Jack Rodwell,Sheffield United,32002,15,DF
0,1,0,4,50,2,50,0,0,3,0,69.57,6,50,121,1,2,0,3,0,0,0,0,0,0,0,0,0,0,7,0,32,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,,0,0,0,Marcos Rojo,Manchester United,46998,35,DF
0,0,0,3,60,0,0,1,50,1,0,81.48,3,37.5,57,1,0,1,4,0,0,0,0,0,0,0,0,0,0,11,0,22,2,1,16.67,1,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,Gaëtan Bong,Brighton & Hove Albion,14193,30,DF
0,0,0,25,52.08,7,35,9,64.29,15,0,53.77,32,47.06,441,1,4,2,5,0,0,0,0,0,0,0,0,0,0,12,0,57,0,1,8.33,6,22.22,7,15,12,0,1,1,0,0,0,1,,0,0,0,Jeremy Ngakia,West Ham United,991595,37,DF
0,5,0,38,42.7,36,63.16,7,43.75,26,0,73.19,74,50.68,1030,6,18,5,14,0,0,0,0,0,0,0,0,0,0,86,0,303,11,17,23.94,14,31.11,3,29,19,0,6,3,1,0,0,0,,0,0,0,José Holebas,Watford,16779,24,DF
0,0,1,11,47.83,7,36.84,3,42.86,6,1,74.05,18,42.86,276,2,4,1,6,0,0,0,0,0,0,0,0,0,0,21,0,97,2,0,0,4,23.53,2,7,3,0,1,0,0,0,0,0,,0,0,0,Kevin Danso,Southampton,794953,45,DF
0,0,0,1,33.33,2,100,0,0,1,0,75.68,3,60,127,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7,0,28,2,2,40,3,25,1,4,1,0,0,0,0,0,0,0,,0,1,0,Charlie Daniels,Bournemouth,21501,60,DF
0,2,0,13,37.14,6,75,5,62.5,4,0,68.6,19,44.19,367,4,7,6,8,0,0,0,0,0,0,0,0,0,0,27,0,83,0,1,6.67,3,37.5,7,13,6,0,4,1,2,0,0,1,,0,0,0,Ezequiel Schelotto,Brighton & Hove Albion,76120,30,DF
0,4,1,28,40,42,58.33,1,100,20,0,73.16,70,49.3,1510,7,20,3,20,0,0,0,0,0,0,0,0,0,0,61,0,338,4,5,22.73,25,36.76,11,68,19,0,3,0,1,0,0,2,,0,0,0,Adrian Mariappa,Watford,10597,24,DF
0,0,0,3,100,0,0,2,100,1,0,80,3,60,58,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,1,100,2,2,0,0,0,0,0,0,0,0,,0,0,0,Dimitri Foulquier,Watford,151138,24,DF
0,1,0,9,60,3,75,2,50,7,0,82.14,12,63.16,79,1,2,1,4,0,0,0,0,0,0,0,0,0,0,9,0,46,1,0,0,2,33.33,1,2,1,0,0,0,0,0,0,0,,1,0,0,Juan Foyth,Tottenham Hotspur,873189,33,DF
0,0,0,1,100,0,0,0,0,1,0,33.33,1,100,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Kelland Watts,Newcastle United,941670,39,DF
0,0,0,0,0,0,0,0,0,0,0,100,0,0,10,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Kieron Freeman,Sheffield United,138765,15,DF
0,1,0,13,59.09,14,66.67,1,100,8,0,79.03,27,62.79,563,5,3,2,8,0,0,0,0,0,0,0,0,0,0,17,0,211,0,0,0,15,32.61,4,25,4,2,5,3,0,0,0,0,,0,1,0,Maya Yoshida,Southampton,24248,45,DF
0,1,1,13,54.17,17,50,4,80,7,0,87.73,30,51.72,931,2,3,5,14,0,0,0,0,0,0,0,0,0,0,32,0,472,1,0,0,28,59.57,20,44,3,0,0,0,0,0,0,0,,1,1,0,Mamadou Sakho,Crystal Palace,21134,7,DF
0,1,0,42,47.19,20,54.05,14,51.85,20,0,56.31,62,49.21,782,8,7,19,11,0,0,0,0,0,0,0,0,0,0,38,2,125,2,2,18.18,6,14.29,13,29,8,0,3,2,1,0,0,3,,2,0,0,Yan Valery,Southampton,826202,45,DF
0,1,0,3,42.86,5,62.5,1,100,1,0,77.12,8,53.33,162,1,2,1,2,0,0,0,0,0,0,0,0,0,0,10,0,91,0,1,100,8,32,2,7,1,0,0,0,0,0,0,0,,0,1,0,Jesús Vallejo,Wolverhampton,355048,3,DF
0,0,0,10,50,4,66.67,4,80,5,0,69.89,14,53.85,238,1,1,2,4,0,0,0,0,0,0,0,0,0,0,9,0,65,1,0,0,1,7.14,2,12,6,0,1,0,1,0,0,0,,1,0,0,Jack Simpson,Bournemouth,830250,60,DF
0,0,0,5,38.46,3,20,0,0,2,0,88.24,8,28.57,193,3,3,2,5,0,0,0,0,0,0,0,0,0,0,19,0,120,0,0,0,4,44.44,5,4,1,0,0,0,0,0,0,0,,1,0,0,Axel Tuanzebe,Manchester United,817979,35,DF
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Akin Famewo,Norwich City,999810,263,DF
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Jordan Thomas,Norwich City,994570,263,DF
9,4,0,155,60.55,10,34.48,65,70.65,45,7,82.73,165,57.89,2608,45,17,30,36,0,0,0,0,0,0,0,0,0,0,555,12,1188,77,51,29.31,66,68.75,20,7,29,4,71,29,23,12.68,1,4,,0,0,1,Willian,Chelsea,31417,38,FW
4,1,0,293,61.95,45,46.39,183,74.39,33,9,74.33,338,59.3,2606,77,39,65,37,0,0,0,0,0,0,0,0,0,0,236,10,530,48,44,24.04,9,27.27,13,13,15,4,43,12,15,9.3,2,6,,0,2,0,Adama Traoré,Wolverhampton,286165,3,FW
18,4,0,88,45.83,74,38.95,28,50.91,18,2,66.73,162,42.41,2589,44,37,32,29,0,0,0,0,0,0,0,0,0,0,184,4,369,27,4,21.05,23,44.23,6,30,13,7,81,37,19,22.22,1,20,,0,0,0,Harry Kane,Tottenham Hotspur,108579,33,FW
23,2,0,50,45.45,54,36,23,48.94,15,5,70.59,104,40,3034,12,20,16,35,0,0,0,0,0,0,0,0,0,0,142,12,312,32,6,19.35,7,53.85,2,22,2,18,89,43,18,25.84,4,28,,0,0,0,Jamie Vardy,Leicester City,173827,31,FW
20,5,0,122,42.96,22,39.29,55,51.4,27,1,82.79,144,42.35,2660,40,30,60,33,0,0,0,0,0,0,0,0,0,0,493,9,967,48,8,16.67,11,55,15,4,22,19,99,38,31,20.2,4,12,,0,0,0,Raheem Sterling,Manchester City,138534,17,FW
16,1,0,40,40.4,3,20,24,60,7,3,80.51,43,37.72,1456,9,9,30,24,0,0,0,0,0,0,0,0,0,0,142,4,285,18,0,0,1,25,3,2,7,12,76,28,22,21.05,5,6,,0,0,0,Sergio Agüero,Manchester City,17094,17,FW
17,3,0,116,41.43,87,42.23,62,62.63,20,6,72.25,203,41.77,3244,35,39,67,38,0,0,0,0,0,0,0,0,0,0,273,13,716,48,5,17.86,46,57.5,16,32,28,9,118,44,29,14.41,3,18,,0,1,0,Raúl Jiménez,Wolverhampton,192442,3,FW
22,3,1,68,39.53,33,35.87,17,44.74,31,3,72.22,101,38.26,3138,20,14,31,36,0,0,0,0,0,0,0,0,0,0,255,7,590,26,22,24.72,11,47.83,14,13,39,10,93,42,23,23.66,4,20,,0,0,0,Pierre-Emerick Aubameyang,Arsenal,51498,42,FW
14,3,0,90,50,41,36.61,44,74.58,17,7,86.54,131,44.86,2027,29,27,33,34,0,0,0,0,0,0,0,0,0,0,237,4,527,32,2,33.33,19,76,11,6,19,24,101,48,20,13.86,3,19,,0,0,0,Gabriel Jesus,Manchester City,794839,17,FW
