goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Position
1,6,0,61,51.69,67,56.3,7,63.64,36,1,85.02,128,54.01,2539,18,31,10,29,0,0,0,0,0,0,0,0,0,0,250,0,1345,11,5,26.32,45,36.59,30,73,13,3,18,7,6,5.56,0,5,,1,0,0,Ben Davies,Tottenham Hotspur,94758,33,DF
1,5,0,134,58.77,33,44,17,50,72,1,82.31,167,55.12,2295,45,28,18,31,0,0,0,0,0,0,0,0,0,0,250,1,935,28,18,24.32,18,30.51,22,78,31,2,15,4,4,6.67,0,2,,0,1,0,Emerson Royal,Tottenham Hotspur,856123,33,DF
0,0,0,8,88.89,2,100,1,100,5,0,87.65,10,90.91,161,2,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,71,0,0,0,1,25,3,8,1,0,0,0,0,0,0,0,,0,0,0,Phil Jones,Manchester United,93868,35,DF
1,5,0,65,58.56,92,65.71,4,50,47,0,84.64,157,62.55,2498,14,24,3,28,0,0,0,0,0,0,0,0,0,0,94,0,1625,3,2,40,86,35.39,32,112,16,0,8,1,1,12.5,0,1,,1,0,0,Çağlar Söyüncü,Leicester City,758608,31,DF
3,7,0,49,61.25,103,55.98,2,100,40,1,80.93,152,57.58,3322,8,15,5,37,0,0,0,0,0,0,0,0,0,0,51,1,1205,5,0,0,38,29.23,52,186,12,5,22,11,5,13.64,1,5,,0,0,0,Pontus Jansson,Brentford,55123,50,DF
0,3,0,115,60.21,58,65.91,27,50.94,45,3,71.12,173,62.01,2730,43,17,15,31,0,0,0,0,0,0,0,0,0,0,171,4,697,21,20,19.23,74,35.24,58,72,18,0,7,0,1,0,0,0,,0,2,0,Charlie Taylor,Burnley,166381,6,DF
1,5,0,168,60.22,27,49.09,64,67.37,57,2,81.34,195,58.38,2632,47,27,43,32,0,0,0,0,0,0,0,0,0,0,349,5,885,24,6,12,41,48.81,37,42,12,0,26,7,11,3.85,1,3,,0,1,0,Kyle Walker-Peters,Southampton,823085,45,DF
1,2,0,120,61.86,24,48.98,30,54.55,54,1,78.59,144,59.26,2208,36,12,19,28,0,0,0,0,0,0,0,0,0,0,204,4,712,20,12,19.35,27,35.53,47,47,18,1,12,3,3,8.33,2,1,,0,1,0,Valentino Livramento,Southampton,980634,45,DF
1,0,0,37,54.41,10,45.45,3,33.33,25,0,73.44,47,52.22,1056,9,13,4,13,0,0,0,0,0,0,0,0,0,0,78,0,235,9,8,19.51,13,32.5,16,27,9,1,8,2,1,12.5,0,0,,0,0,1,Vitaliy Mykolenko,Everton,876643,48,DF
1,5,0,58,64.44,49,61.25,13,72.22,29,3,69.71,107,62.94,1987,16,12,7,24,0,0,0,0,0,0,0,0,0,0,104,4,504,8,3,17.65,30,29.7,26,71,8,0,7,1,5,14.29,0,0,,0,0,0,Kristoffer Ajer,Brentford,576384,50,DF
1,1,0,80,59.26,39,50.65,6,31.58,67,0,82.03,119,56.13,2126,7,15,11,27,0,0,0,0,0,0,0,0,0,0,175,1,904,15,10,25,34,43.59,29,46,16,2,7,3,1,14.29,0,1,,1,0,0,Timothy Castagne,Leicester City,329417,31,DF
0,3,0,21,70,30,65.22,0,0,12,0,80.06,51,67.11,851,9,5,1,13,0,0,0,0,0,0,0,0,0,0,15,0,285,1,1,33.33,22,43.14,11,37,3,0,6,2,0,0,0,1,,1,0,0,Yerry Mina,Everton,360396,48,DF
3,7,0,81,64.29,50,43.86,8,61.54,53,0,81.43,131,54.58,2343,21,23,3,28,0,0,0,0,0,0,0,0,0,0,81,0,1105,2,0,0,86,41.95,40,75,14,1,10,3,1,30,1,0,,0,2,0,Diego Llorente,Leeds United,305278,34,DF
4,1,0,103,48.82,31,44.29,35,60.34,46,1,76.29,134,47.69,1853,22,26,33,32,0,0,0,0,0,0,0,0,0,0,110,2,489,19,3,15,18,38.3,18,31,26,1,33,9,10,12.12,1,0,,0,0,1,Jeffrey Schlupp,Crystal Palace,148710,7,DF
1,3,1,54,54,25,59.52,10,47.62,38,2,67.44,79,55.63,1778,6,13,6,25,0,0,0,0,0,0,0,0,0,0,146,4,437,18,9,17.65,62,36.26,26,62,17,0,10,2,4,10,0,0,,0,0,0,Matthew Lowton,Burnley,67507,6,DF
1,2,0,11,57.89,10,66.67,1,100,8,0,86.52,21,61.76,550,2,7,0,8,0,0,0,0,0,0,0,0,0,0,11,1,276,2,0,0,26,50.98,4,18,2,0,4,2,1,25,0,0,,0,0,0,James Tomkins,Crystal Palace,32124,7,DF
0,5,0,50,58.14,22,43.14,2,50,37,1,73.27,72,52.55,1635,11,22,4,20,0,0,0,0,0,0,0,0,0,0,108,1,433,6,3,14.29,12,22.22,25,49,9,0,6,2,1,0,0,0,,0,0,0,Emil Krafth,Newcastle United,150396,39,DF
1,1,0,13,59.09,5,33.33,0,0,8,0,84.14,18,48.65,381,5,3,0,5,0,0,0,0,0,0,0,0,0,0,18,0,191,0,0,0,14,58.33,5,13,6,0,2,1,1,50,0,0,,0,0,0,Andrew Omobamidele,Norwich City,983066,263,DF
1,0,0,8,50,20,71.43,3,75,3,0,78.83,28,63.64,405,2,6,1,7,0,0,0,0,0,0,0,0,0,0,17,0,175,0,0,0,17,47.22,6,12,1,0,2,2,0,50,0,1,,0,0,0,Kortney Hause,Aston Villa,255189,40,DF
2,1,0,55,52.88,11,57.89,14,56,25,0,83.04,66,53.66,1022,16,10,20,13,0,0,0,0,0,0,0,0,0,0,89,2,421,11,6,42.86,19,65.52,13,8,9,0,10,5,2,20,0,0,,0,0,0,Jonny Otto,Wolverhampton,235648,3,DF
0,0,0,5,83.33,3,60,0,0,5,0,68.75,8,72.73,148,0,1,0,2,0,0,0,0,0,0,0,0,0,0,8,0,55,1,0,0,3,25,4,7,0,0,0,0,0,0,0,0,,0,0,0,Leo Fuhr Hjelde,Leeds United,1097848,34,DF
1,2,1,15,53.57,29,56.86,0,0,13,0,86.76,44,55.7,846,3,9,3,15,0,0,0,0,0,0,0,0,0,0,33,0,413,0,0,0,16,34.78,10,42,1,1,4,1,1,25,0,0,,0,1,0,Rob Holding,Arsenal,793228,42,DF
1,1,0,45,57.69,16,72.73,10,58.82,31,1,79.87,61,61,651,4,8,9,13,0,0,0,0,0,0,0,0,0,0,95,1,254,2,2,8.7,7,28,9,15,9,0,4,1,1,25,0,0,,0,0,0,Arthur Masuaku,West Ham United,174975,37,DF
0,1,0,30,61.22,10,58.82,4,66.67,21,1,79.21,40,60.61,1351,5,3,4,16,0,0,0,0,0,0,0,0,0,0,75,0,442,6,3,17.65,15,23.44,15,30,10,0,3,2,0,0,0,0,,0,0,0,Nathaniel Clyne,Crystal Palace,43215,7,DF
0,3,1,75,52.08,33,48.53,15,65.22,45,4,71.41,108,50.94,2216,15,29,15,28,0,0,0,0,0,0,0,0,0,0,240,4,747,21,19,17.76,36,27.69,22,57,18,0,11,5,3,0,0,2,,0,1,0,Vladimír Coufal,West Ham United,138024,37,DF
0,0,0,5,55.56,10,66.67,0,0,3,0,87.44,15,62.5,527,2,1,0,7,0,0,0,0,0,0,0,0,0,0,7,1,181,1,0,0,17,51.52,4,27,3,0,6,1,2,0,0,0,,0,0,0,Federico Fernández,Newcastle United,38393,39,DF
0,4,0,115,56.93,7,20.59,29,47.54,36,2,85.85,122,51.69,1564,50,27,21,30,0,0,0,0,0,0,0,0,0,0,194,5,528,21,19,20.43,6,30,20,20,10,1,19,4,4,0,0,3,,0,0,0,Tariq Lamptey,Brighton & Hove Albion,914691,30,DF
0,2,0,10,62.5,5,71.43,0,0,7,0,73.08,15,65.22,198,3,3,0,3,0,0,0,0,0,0,0,0,0,0,7,0,38,0,0,0,1,16.67,3,5,3,0,0,0,0,0,0,0,,0,0,0,Paul Dummett,Newcastle United,185995,39,DF
0,4,0,25,51.02,52,61.18,3,100,16,2,87.8,77,57.46,2360,6,19,1,28,0,0,0,0,0,0,0,0,0,0,99,2,1209,4,0,0,65,49.62,25,94,5,0,3,2,1,0,0,2,,0,0,0,Victor Lindelöf,Manchester United,143334,35,DF
0,6,0,67,63.81,37,45.68,9,75,47,0,76.6,104,55.91,2031,12,17,4,23,0,0,0,0,0,0,0,0,0,0,104,0,540,12,4,33.33,22,27.85,15,91,15,1,18,7,4,0,0,0,,2,0,0,Ben Godfrey,Everton,754698,48,DF
0,2,0,20,66.67,13,56.52,4,100,15,0,88.86,33,62.26,570,1,4,0,10,0,0,0,0,0,0,0,0,0,0,19,0,335,1,0,0,25,55.56,7,35,7,0,1,0,0,0,0,0,,0,0,0,Jannik Vestergaard,Leicester City,120538,31,DF
0,2,0,81,50.31,24,42.86,15,65.22,50,1,80.31,105,48.39,1912,16,15,20,22,0,0,0,0,0,0,0,0,0,0,184,3,820,12,4,12.12,24,30,40,47,37,0,4,0,2,0,0,0,,0,0,0,Luke Thomas,Leicester City,991584,31,DF
1,0,0,9,56.25,5,55.56,2,100,2,0,85.71,14,56,164,5,2,1,4,0,0,0,0,0,0,0,0,0,0,9,0,54,1,1,100,2,40,0,3,4,0,2,1,0,50,0,0,,0,0,0,Dan Gosling,Watford,19343,24,DF
0,2,0,38,41.3,11,42.31,6,31.58,25,2,76.78,49,41.53,1052,7,19,12,15,0,0,0,0,0,0,0,0,0,0,103,6,248,14,8,21.05,6,27.27,7,22,11,0,6,1,2,0,0,5,,0,0,0,Ryan Sessegnon,Tottenham Hotspur,836698,33,DF
0,0,0,39,52.7,13,44.83,5,33.33,22,0,80.65,52,50.49,997,12,7,10,13,0,0,0,0,0,0,0,0,0,0,106,1,450,9,3,20,16,33.33,17,32,8,1,5,1,3,0,0,1,,0,0,0,James Justin,Leicester City,827681,31,DF
0,2,0,59,65.56,7,31.82,9,56.25,18,2,79.96,66,58.93,1245,33,16,3,24,0,0,0,0,0,0,0,0,0,0,125,1,415,13,8,18.18,22,40,13,24,5,0,10,3,3,0,0,1,,0,1,0,Ashley Young,Aston Villa,10589,40,DF
2,4,2,67,69.79,58,58,6,66.67,25,0,86.37,125,63.78,2481,36,18,6,29,0,0,0,0,0,0,0,0,0,0,50,0,868,4,0,0,33,36.67,15,82,3,2,15,6,2,13.33,0,1,,0,2,0,Ezri Konsa,Aston Villa,827679,40,DF
0,0,0,12,63.16,15,93.75,2,100,7,0,78.02,27,77.14,428,3,4,0,5,0,0,0,0,0,0,0,0,0,0,2,0,142,0,0,0,4,18.18,6,34,3,0,1,1,0,0,0,0,,0,0,0,Francisco Sierralta,Watford,805096,24,DF
1,4,0,112,62.92,25,52.08,34,69.39,61,0,74.24,137,60.62,2658,17,14,20,30,0,0,0,0,0,0,0,0,0,0,197,0,706,14,13,31.71,53,36.81,32,74,18,0,8,1,3,12.5,0,2,,2,0,1,Séamus Coleman,Everton,76632,48,DF
1,5,0,20,43.48,89,74.17,1,50,15,0,74.64,109,65.66,2061,4,17,2,26,0,0,0,0,0,0,0,0,0,0,34,0,515,4,0,0,35,35.35,22,121,8,2,17,4,4,5.88,1,0,,0,1,0,Jamaal Lascelles,Newcastle United,153444,39,DF
1,2,0,11,39.29,10,52.63,0,0,10,0,80.67,21,44.68,517,1,10,3,8,0,0,0,0,0,0,0,0,0,0,26,0,217,3,2,28.57,15,48.39,10,13,3,0,2,1,1,50,0,0,,0,0,0,Zanka,Brentford,26404,50,DF
0,8,0,85,53.8,58,59.79,20,76.92,44,0,79.17,143,56.08,2486,21,22,18,28,0,0,0,0,0,0,0,0,0,0,211,1,1144,7,4,9.3,66,34.02,32,95,27,0,10,1,2,0,0,1,,0,1,0,Joel Ward,Crystal Palace,39183,7,DF
0,2,0,55,57.29,12,46.15,7,50,35,5,73.66,67,54.92,2149,13,12,7,27,0,0,0,0,0,0,0,0,0,0,188,5,646,25,24,22.64,33,30.28,37,51,16,0,3,1,2,0,1,2,,0,0,0,Kiko Femenía,Watford,53739,24,DF
1,1,0,11,52.38,27,69.23,1,100,7,0,85.23,38,63.33,922,3,5,1,11,0,0,0,0,0,0,0,0,0,0,21,0,404,0,0,0,17,27.42,11,26,4,0,3,1,2,33.33,0,0,,0,0,0,Angelo Ogbonna,West Ham United,21164,37,DF
0,0,0,2,50,2,100,1,100,1,0,87.72,4,66.67,168,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,50,1,0,0,4,66.67,2,8,0,0,0,0,0,0,0,0,,0,0,0,Nicolas N'Koulou,Watford,38533,24,DF
0,1,0,30,60,20,50,3,50,25,0,83.99,50,55.56,900,2,7,3,10,0,0,0,0,0,0,0,0,0,0,27,0,467,1,0,0,15,31.25,14,35,7,0,2,1,0,0,0,1,,0,0,0,Willy Boly,Wolverhampton,139310,3,DF
0,3,0,12,54.55,9,69.23,0,0,8,0,81.44,21,60,833,4,8,0,11,0,0,0,0,0,0,0,0,0,0,32,0,351,7,3,30,19,34.55,6,24,1,0,2,0,2,0,0,0,,0,0,0,Mads Bech Sørensen,Brentford,1006409,50,DF
0,4,0,43,56.58,6,28.57,11,64.71,27,0,86.42,49,50.52,707,6,13,2,14,0,0,0,0,0,0,0,0,0,0,66,0,299,1,0,0,3,27.27,8,10,12,0,4,1,1,0,0,0,,0,1,0,Jamie Shackleton,Leeds United,943652,34,DF
1,6,1,71,58.2,40,50.63,2,66.67,61,0,85.17,111,55.22,2059,8,25,5,29,0,0,0,0,0,0,0,0,0,0,97,0,1068,11,0,0,60,45.11,33,56,20,4,11,4,2,9.09,0,1,,1,1,0,Pascal Struijk,Leeds United,836675,34,DF
0,0,0,15,53.57,16,48.48,0,0,10,1,85.12,31,50.82,970,5,5,1,13,0,0,0,0,0,0,0,0,0,0,19,1,406,1,0,0,16,32,7,42,7,0,2,2,0,0,0,1,,0,0,0,Issa Diop,West Ham United,825719,37,DF
0,4,0,39,56.52,4,33.33,9,60,16,0,68.28,43,53.09,689,14,10,1,8,0,0,0,0,0,0,0,0,0,0,54,2,155,6,2,8.33,22,43.14,14,9,14,0,4,1,1,0,0,1,,0,1,1,Danny Rose,Watford,16586,24,DF
0,3,0,36,54.55,48,58.54,0,0,32,1,81.28,84,56.76,2414,4,13,2,31,0,0,0,0,0,0,0,0,0,0,69,2,734,3,1,25,85,49.71,28,129,14,0,3,0,1,0,0,0,,1,2,0,Craig Cathcart,Watford,22200,24,DF
1,5,0,66,65.35,16,55.17,10,55.56,39,2,73.02,82,63.08,1275,17,9,3,19,0,0,0,0,0,0,0,0,0,0,59,1,230,4,2,22.22,7,19.44,10,26,15,0,4,2,1,25,0,1,,0,0,0,Javier Manquillo,Newcastle United,210082,39,DF
0,3,0,23,56.1,13,52,2,100,19,0,77.37,36,54.55,811,2,8,1,11,0,0,0,0,0,0,0,0,0,0,37,0,359,4,0,0,28,31.82,19,41,10,0,0,0,0,0,0,0,,0,0,0,Jack Stephens,Southampton,134361,45,DF
0,0,0,15,57.69,47,79.66,1,33.33,11,0,78.46,62,72.94,1190,3,5,1,16,0,0,0,0,0,0,0,0,0,0,21,0,368,2,1,100,30,40.54,14,65,3,2,7,0,0,0,0,0,,0,1,0,Christian Kabasele,Watford,58351,24,DF
0,4,0,41,56.16,48,58.54,2,66.67,24,0,80.66,89,57.42,1675,16,17,3,19,0,0,0,0,0,0,0,0,0,0,32,0,538,2,0,0,39,31.97,43,81,11,0,8,2,4,0,0,0,,2,1,0,Samir Caetano,Watford,331405,24,DF
0,3,1,36,63.16,53,57.61,5,71.43,23,0,81.33,89,59.73,2495,9,12,2,28,0,0,0,0,0,0,0,0,0,0,91,0,1111,3,0,0,95,39.92,27,137,5,2,8,4,1,0,0,0,,1,1,0,Ben Gibson,Norwich City,115432,263,DF
0,2,1,27,42.86,15,62.5,5,71.43,14,0,84.1,42,48.28,744,8,19,5,11,0,0,0,0,0,0,0,0,0,0,48,0,291,2,2,18.18,9,37.5,9,30,10,0,7,2,3,0,0,1,,0,0,0,Japhet Tanganga,Tottenham Hotspur,836693,33,DF
0,0,0,37,52.86,29,63.04,9,81.82,24,1,69.67,66,56.9,1076,4,14,1,15,0,0,0,0,0,0,0,0,0,0,51,2,294,7,8,26.67,31,33.7,18,40,17,0,5,0,1,0,1,0,,0,0,0,Adam Masina,Watford,259995,24,DF
2,7,1,50,50,63,67.02,2,50,35,1,68.45,113,58.25,2136,15,26,7,25,0,0,0,0,0,0,0,0,0,0,68,0,577,3,0,0,75,36.23,26,93,15,2,7,3,1,28.57,0,0,,0,1,0,Mason Holgate,Everton,781544,48,DF
0,8,0,119,57.77,14,45.16,20,51.28,55,1,81.8,133,56.12,2129,44,23,17,26,0,0,0,0,0,0,0,0,0,0,169,2,764,21,3,21.43,41,48.24,44,45,28,0,4,1,0,0,0,0,,0,0,0,Brandon Williams,Norwich City,927368,263,DF
0,3,0,31,54.39,28,49.12,3,37.5,24,0,77.1,59,51.75,1039,4,12,4,15,0,0,0,0,0,0,0,0,0,0,51,0,340,4,0,0,11,28.95,22,45,8,0,7,2,2,0,1,0,,0,0,0,Sam Byram,Norwich City,254713,263,DF
1,2,0,51,45.13,24,52.17,18,50,21,1,82.08,75,47.17,1187,13,23,13,22,0,0,0,0,0,0,0,0,0,0,140,1,481,10,9,22.5,13,35.14,9,30,10,0,23,2,4,4.35,0,1,,1,0,0,Nuno Tavares,Arsenal,944973,42,DF
0,0,0,46,54.76,16,47.06,9,52.94,31,0,73.81,62,52.54,907,6,10,5,16,0,0,0,0,0,0,0,0,0,0,68,1,248,4,4,16,19,44.19,12,30,15,0,5,0,1,0,0,0,,0,0,0,Jeremy Ngakia,Watford,991595,24,DF
0,0,0,15,50,3,50,4,50,8,0,77.04,18,50,270,3,4,5,8,0,0,0,0,0,0,0,0,0,0,31,0,104,3,1,50,4,33.33,4,3,2,0,2,0,1,0,0,0,,0,0,0,Ainsley Maitland-Niles,Arsenal,352768,42,DF
0,2,0,29,55.77,19,57.58,4,100,18,0,72.24,48,56.47,912,7,13,2,15,0,0,0,0,0,0,0,0,0,0,30,0,281,3,0,0,21,22.83,13,48,8,0,6,1,3,0,0,0,,1,0,0,Lyanco,Southampton,797893,45,DF
0,8,0,149,59.6,14,21.88,34,50,64,2,77.21,163,51.91,2882,52,27,23,34,0,0,0,0,0,0,0,0,0,0,211,2,847,20,9,18,36,25.53,28,71,18,1,13,2,6,0,0,1,,0,1,0,Max Aarons,Norwich City,943645,263,DF
2,4,1,115,55.56,35,41.18,23,62.16,74,2,77.43,150,51.37,2275,19,22,10,26,0,0,0,0,0,0,0,0,0,0,166,4,1098,12,4,12.9,106,46.29,28,50,46,0,19,4,3,10.53,1,2,,0,1,0,Luke Ayling,Leeds United,102624,34,DF
0,11,0,91,51.41,27,58.7,16,57.14,60,2,81.36,118,52.91,1715,15,39,7,24,0,0,0,0,0,0,0,0,0,0,166,3,633,22,6,23.08,21,45.65,24,32,28,1,11,1,2,0,0,1,,0,0,0,Junior Firpo,Leeds United,914835,34,DF
0,0,0,0,0,0,0,0,0,0,0,100,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,1,100,1,1,0,0,0,0,0,0,0,0,,0,0,0,Harrison Ashby,West Ham United,1084284,37,DF
0,1,0,18,52.94,3,50,4,57.14,10,0,69.49,21,52.5,322,4,5,4,8,0,0,0,0,0,0,0,0,0,0,15,0,82,1,1,12.5,1,20,6,7,5,0,1,0,0,0,0,1,,0,0,0,Ki-Jana Hoever,Wolverhampton,954044,3,DF
0,3,0,21,52.5,24,51.06,1,50,18,0,77.2,45,51.72,1388,2,13,0,17,0,0,0,0,0,0,0,0,0,0,33,0,464,1,0,0,67,46.85,7,81,5,0,2,0,0,0,0,1,,1,0,0,William Troost-Ekong,Watford,338991,24,DF
0,3,0,58,48.33,16,40,8,44.44,34,1,70.6,74,46.25,1633,16,31,9,20,0,0,0,0,0,0,0,0,0,0,154,1,377,8,6,8.7,11,14.67,17,38,13,1,19,3,5,0,2,0,,0,0,0,Romain Perraud,Southampton,827519,45,DF
0,1,0,5,50,6,75,0,0,5,0,80,11,61.11,217,0,2,1,4,0,0,0,0,0,0,0,0,0,0,4,0,68,0,0,0,3,23.08,3,10,1,0,0,0,0,0,0,0,,0,0,0,Eric Bailly,Manchester United,606346,35,DF
3,2,0,82,43.16,27,40.3,27,45,28,0,74.39,109,42.41,2784,27,20,34,34,0,0,0,0,0,0,0,0,0,0,212,2,761,18,19,25.68,34,28.57,26,56,22,1,14,5,3,21.43,0,1,,0,1,0,Rico Henry,Brentford,599128,50,DF
0,0,0,12,46.15,11,55,1,20,8,0,72.66,23,50,369,3,3,2,5,0,0,0,0,0,0,0,0,0,0,23,1,101,1,1,25,1,6.25,6,16,5,0,2,0,0,0,0,0,,0,1,0,Yan Valery,Southampton,826202,45,DF
0,2,0,36,61.02,22,44,16,80,10,0,81.35,58,53.21,924,10,10,6,11,0,0,0,0,0,0,0,0,0,0,19,0,349,2,0,0,15,32.61,16,25,4,1,4,2,1,0,0,1,,0,0,0,Ozan Kabak,Norwich City,857740,263,DF
1,1,0,35,41.18,12,32.43,4,26.67,23,1,67,47,38.52,1237,8,18,4,21,0,0,0,0,0,0,0,0,0,0,57,2,199,7,9,25.71,10,26.32,16,26,18,0,5,2,1,20,0,2,,0,0,0,Mads Roerslev,Brentford,826057,50,DF
0,1,0,8,57.14,13,52,0,0,5,0,86.25,21,53.85,517,3,3,0,9,0,0,0,0,0,0,0,0,0,0,5,0,207,0,0,0,10,41.67,5,12,3,0,2,1,1,0,0,0,,0,1,0,Axel Tuanzebe,Aston Villa,817979,40,DF
0,1,1,27,52.94,9,45,4,44.44,17,1,73.68,36,50.7,1017,6,9,3,15,0,0,0,0,0,0,0,0,0,0,84,0,266,11,10,43.48,18,33.96,20,26,8,0,5,0,2,0,1,1,,0,0,0,Jonjoe Kenny,Everton,361310,48,DF
0,1,0,5,50,13,65,0,0,3,0,77.45,18,60,413,3,4,0,6,0,0,0,0,0,0,0,0,0,0,2,0,79,0,0,0,8,50,1,19,1,0,4,0,0,0,0,1,,0,0,0,Kevin Long,Burnley,96116,6,DF
0,3,0,36,39.56,45,50,5,62.5,21,0,77.36,81,44.75,1574,10,22,6,20,0,0,0,0,0,0,0,0,0,0,80,0,540,5,0,0,32,43.24,20,43,25,1,13,1,4,0,1,0,,0,0,0,Robin Koch,Leeds United,581302,34,DF
0,0,0,4,36.36,0,0,2,66.67,2,0,92.21,4,28.57,79,0,2,0,1,0,0,0,0,0,0,0,0,0,0,19,1,71,2,1,11.11,1,33.33,0,0,4,0,0,0,0,0,0,0,,0,0,0,Benjamin Mendy,Manchester City,139225,17,DF
0,0,0,1,100,2,50,0,0,0,0,82.86,3,60,87,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3,75,0,7,0,0,0,0,0,0,0,0,,0,0,0,Joe Rodon,Tottenham Hotspur,828640,33,DF
0,1,0,5,62.5,6,66.67,0,0,5,0,72.12,11,64.71,148,0,3,0,5,0,0,0,0,0,0,0,0,0,0,3,0,75,0,0,0,4,21.05,2,6,0,0,1,0,0,0,0,1,,0,0,0,Charlie Cresswell,Leeds United,1020744,34,DF
0,1,0,10,43.48,1,20,0,0,8,0,78.48,11,39.29,266,2,2,7,5,0,0,0,0,0,0,0,0,0,0,11,0,62,1,0,0,4,33.33,3,8,1,0,0,0,0,0,0,0,,0,0,0,Jamal Lewis,Newcastle United,891803,39,DF
0,1,0,9,47.37,1,11.11,0,0,8,0,81.38,10,35.71,338,1,3,4,4,0,0,0,0,0,0,0,0,0,0,28,0,118,0,2,16.67,3,42.86,1,6,3,0,0,0,0,0,0,0,,0,0,0,Ryan Bertrand,Leicester City,20756,31,DF
0,0,0,9,81.82,2,100,1,100,6,0,73.02,11,84.62,157,2,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,46,0,0,0,2,22.22,1,4,1,0,2,1,0,0,0,0,,0,0,0,Christoph Zimmermann,Norwich City,142568,263,DF
0,1,0,3,33.33,3,60,0,0,2,0,78.15,6,42.86,303,1,3,1,7,0,0,0,0,0,0,0,0,0,0,15,0,93,2,1,11.11,1,20,4,5,1,0,0,0,0,0,0,0,,0,0,0,Ryan Fredericks,West Ham United,106920,37,DF
0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Nathan Ferguson,Crystal Palace,915688,7,DF
0,0,0,1,33.33,0,0,1,100,0,0,100,1,25,23,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,Lewis Brunt,Leicester City,994562,31,DF
0,2,1,22,62.86,26,63.41,4,80,13,1,79.12,48,63.16,1015,5,6,2,13,0,0,0,0,0,0,0,0,0,0,24,0,288,4,1,100,15,37.5,13,41,5,1,7,1,1,0,0,1,,1,0,0,Ciaran Clark,Newcastle United,45680,39,DF
0,1,0,6,50,1,50,2,50,4,0,74.55,7,50,126,0,2,0,3,0,0,0,0,0,0,0,0,0,0,10,0,41,1,1,50,2,66.67,1,3,2,0,0,0,0,0,0,0,,0,0,0,Cody Drameh,Leeds United,991577,34,DF
1,0,1,9,47.37,11,68.75,1,50,4,0,75.65,20,57.14,388,4,3,1,6,0,0,0,0,0,0,0,0,0,0,11,0,87,0,0,0,5,35.71,1,20,5,0,3,2,0,33.33,0,0,,0,0,0,Jarrad Branthwaite,Everton,979563,48,DF
0,1,0,0,0,0,0,0,0,0,0,92.86,0,0,91,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,,0,0,0,Sead Kolašinac,Arsenal,142148,42,DF
0,0,0,0,0,0,0,0,0,0,0,50,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Emerson Palmieri,Chelsea,155997,38,DF
0,0,0,1,100,0,0,0,0,1,0,100,1,100,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Conrad Jaden Egan-Riley,Manchester City,1131448,17,DF
23,2,0,102,46.58,16,31.37,51,55.43,15,7,86.6,118,43.7,3019,36,14,46,35,0,0,0,0,0,0,0,0,0,0,385,10,879,73,42,21.88,16,55.17,13,8,18,17,86,49,17,26.74,2,17,,0,0,1,Heung-min Son,Tottenham Hotspur,111505,33,FW
17,5,0,123,43.93,75,47.77,54,54,15,9,70.25,198,45.31,3232,54,42,61,37,0,0,0,0,0,0,0,0,0,0,298,19,614,53,7,16.67,67,65.05,3,39,11,18,133,55,36,12.78,3,16,,0,0,3,Harry Kane,Tottenham Hotspur,108579,33,FW
12,8,0,137,49.46,147,55.89,24,48,33,5,58.94,284,52.59,2908,80,50,44,33,0,0,0,0,0,0,0,0,0,0,217,10,432,43,2,7.14,12,38.71,14,42,26,6,88,30,24,13.64,2,25,,0,1,0,Ivan Toney,Brentford,290927,50,FW
