goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position,,,
1,3,0,13,34.21,36,65.45,0,0,11,0,79.47,49,52.69,917,3,15,1,14,0,0,0,0,0,0,0,0,0,0,24,0,302,0,1,16.67,38,49.35,27,68,10,1,10,5,0,10,0,1,,0,1,0,Daniel Ayala,Middlesbrough,76343,36,DF,,,
0,2,0,25,64.1,19,61.29,6,66.67,11,0,82.98,44,62.86,584,8,8,1,13,0,0,0,0,0,0,0,0,0,0,90,0,273,3,3,13.04,27,57.45,11,24,3,0,7,2,2,0,0,2,,0,0,0,Branislav Ivanović,Chelsea,25233,38,DF,,,
1,2,0,64,64.65,23,58.97,8,61.54,41,1,82.9,87,63.04,1059,15,14,5,20,0,0,0,0,0,0,0,0,0,0,166,0,475,11,2,13.33,16,38.1,24,41,13,0,7,2,3,14.29,0,5,,0,0,0,Pablo Zabaleta,Manchester City,11796,17,DF,,,
0,7,0,63,53.39,69,65.71,3,60,44,2,81.82,132,59.19,2430,16,26,3,27,0,0,0,0,0,0,0,0,0,0,91,1,927,3,1,20,99,46.48,50,187,24,2,15,2,3,0,0,0,,1,3,0,Federico Fernández,Swansea City,38393,74,DF,,,
0,3,0,38,61.29,38,53.52,6,100,25,0,88.38,76,57.14,1408,7,15,1,20,0,0,0,0,0,0,0,0,0,0,66,0,829,3,1,100,50,45.87,14,92,8,0,4,2,1,0,0,0,,1,0,0,Ragnar Klavan,Liverpool,10122,44,DF,,,
0,6,0,41,51.25,49,55.68,9,75,25,0,87.04,90,53.57,1516,11,20,6,19,0,0,0,0,0,0,0,0,0,0,122,0,759,4,2,25,24,47.06,30,85,10,1,9,2,1,0,0,0,,0,2,0,Gabriel Paulista,Arsenal,124737,42,DF,,,
3,4,0,38,56.72,58,59.18,2,100,28,0,76.92,96,58.18,1976,9,10,3,24,0,0,0,0,0,0,0,0,0,0,73,0,560,2,2,66.67,76,42.22,37,124,16,3,14,4,1,21.43,0,0,,0,0,0,James Tomkins,Crystal Palace,32124,7,DF,,,
0,3,0,21,50,27,58.7,7,77.78,12,0,82.58,48,54.55,810,2,10,2,9,0,0,0,0,0,0,0,0,0,0,42,0,384,3,2,100,25,52.08,10,47,8,1,5,2,2,0,0,0,,0,1,0,Rob Holding,Arsenal,793228,42,DF,,,
2,2,0,53,50.96,65,65,11,78.57,37,0,68.19,118,57.84,1915,6,19,10,23,0,0,0,0,0,0,0,0,0,0,75,0,478,2,0,0,80,38.83,47,136,19,1,12,4,3,16.67,1,0,,1,1,0,Younès Kaboul,Watford,1018,24,DF,,,
2,9,0,41,48.24,94,54.02,0,0,28,2,71.37,135,52.12,2929,18,45,3,33,0,0,0,0,0,0,0,0,0,0,36,3,501,6,0,0,33,25.78,44,221,5,1,26,9,10,7.69,1,0,,0,1,0,Robert Huth,Leicester City,1203,31,DF,,,
3,2,0,31,56.36,68,56.67,2,50,17,1,74.18,99,56.57,1744,13,14,3,23,0,0,0,0,0,0,0,0,0,0,55,1,451,6,1,33.33,63,45.99,32,102,6,0,21,10,3,14.29,0,0,,0,2,0,Scott Dann,Crystal Palace,20278,7,DF,,,
0,4,1,93,57.06,115,58.97,17,70.83,62,1,79.65,208,58.1,2940,17,27,15,34,0,0,0,0,0,0,0,0,0,0,228,2,1319,19,13,19.7,143,42.94,53,219,21,0,7,0,3,0,0,0,,3,3,0,Simon Francis,Bournemouth,15152,60,DF,,,
0,0,0,121,62.37,13,23.21,21,55.26,80,2,83.34,134,53.6,3324,20,14,20,37,0,0,0,0,0,0,0,0,0,0,593,5,1496,45,18,18.56,44,32.12,43,54,23,1,26,5,8,0,1,1,,1,0,0,Nathaniel Clyne,Liverpool,43215,44,DF,,,
2,3,0,84,52.83,42,48.84,14,35.9,37,4,83.4,126,51.43,2508,36,24,14,28,0,0,0,0,0,0,0,0,0,0,326,3,1090,28,15,15.15,35,41.18,45,46,13,0,19,6,6,10.53,0,2,,0,0,0,Ryan Bertrand,Southampton,20756,45,DF,,,
0,4,0,78,63.41,11,68.75,19,90.48,47,0,74.7,89,64.03,1326,12,20,12,16,0,0,0,0,0,0,0,0,0,0,89,1,375,10,5,15.63,18,26.87,26,45,12,0,5,1,2,0,0,1,,0,0,0,Bryan Oviedo,Sunderland,109064,41,DF,,,
4,10,0,104,52,131,58.48,14,58.33,58,0,63.13,235,55.42,3278,37,53,15,37,0,0,0,0,0,0,0,0,0,0,183,0,642,21,13,15.29,73,33.18,58,149,26,1,21,8,4,19.05,1,2,,0,2,0,Craig Dawson,West Bromwich Albion,50027,8,DF,,,
1,5,0,132,58.93,64,52.89,15,65.22,70,1,68.5,196,56.81,3232,56,35,18,37,0,0,0,0,0,0,0,0,0,0,179,3,774,21,26,23.42,111,37.37,74,153,31,0,7,1,3,14.29,0,0,,1,0,0,Stephen Ward,Burnley,20752,6,DF,,,
0,5,0,46,56.79,24,40,5,83.33,36,0,85.71,70,49.65,1408,5,26,2,17,0,0,0,0,0,0,0,0,0,0,48,0,564,2,0,0,69,55.2,29,109,10,2,7,4,0,0,0,0,,2,1,0,Jordi Amat,Swansea City,106273,74,DF,,,
0,2,0,63,59.43,33,55.93,7,50,41,1,74.81,96,58.18,1371,15,12,5,18,0,0,0,0,0,0,0,0,0,0,109,3,481,9,6,12.5,35,34.31,21,67,20,0,6,3,1,0,0,0,,0,0,0,Mason Holgate,Everton,781544,48,DF,,,
0,0,0,7,70,8,66.67,1,100,4,0,69.44,15,68.18,270,2,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,75,0,0,0,11,32.35,4,15,1,0,1,0,0,0,0,0,,0,0,0,Kevin Long,Burnley,96116,6,DF,,,
0,5,0,137,56.61,57,48.31,13,61.9,90,2,85.62,194,53.89,3153,36,33,18,36,0,0,0,0,0,0,0,0,0,0,443,3,1501,12,6,9.52,38,31.93,88,99,49,2,12,2,4,0,1,7,,0,3,0,Nacho Monreal,Arsenal,17088,42,DF,,,
0,3,0,26,53.06,23,60.53,1,25,23,1,75.55,49,56.32,1161,2,13,0,15,0,0,0,0,0,0,0,0,0,0,37,1,275,4,2,50,35,44.87,18,52,7,0,3,1,0,0,0,0,,0,1,0,Craig Cathcart,Watford,22200,24,DF,,,
1,5,0,121,51.71,64,62.75,26,70.27,76,0,77.26,185,55.06,2718,22,25,30,31,0,0,0,0,0,0,0,0,0,0,349,1,1077,23,21,26.58,89,47.09,41,115,48,0,20,5,10,5,0,0,,0,1,0,Kyle Naughton,Swansea City,32821,74,DF,,,
0,0,0,17,60.71,4,33.33,1,50,11,0,81.43,21,52.5,591,5,4,5,9,0,0,0,0,0,0,0,0,0,0,80,0,250,5,9,24.32,14,46.67,15,16,2,0,1,0,0,0,0,1,,0,1,0,Cuco Martina,Southampton,73763,45,DF,,,
2,14,0,129,49.05,47,62.67,43,58.9,62,4,74.87,176,52.07,2909,24,43,40,33,0,0,0,0,0,0,0,0,0,0,223,3,867,36,34,20.73,46,32.62,55,114,22,0,28,7,11,7.14,0,1,,1,2,0,José Holebas,Watford,16779,24,DF,,,
0,1,0,94,54.97,20,60.61,27,54,49,0,79,114,55.88,1955,18,12,17,23,0,0,0,0,0,0,0,0,0,0,167,3,583,11,6,18.75,58,51.33,38,65,25,1,8,4,4,0,0,0,,1,2,0,Glen Johnson,Stoke City,1204,29,DF,,,
0,4,0,118,56.46,47,55.29,36,57.14,62,2,77.18,165,56.12,1960,24,28,17,24,0,0,0,0,0,0,0,0,0,0,114,1,602,11,5,13.51,45,38.46,56,80,22,0,15,1,7,0,0,0,,1,2,0,George Friend,Middlesbrough,37254,36,DF,,,
0,4,0,58,56.86,33,57.89,9,90,38,1,78.28,91,57.23,1493,12,23,9,20,0,0,0,0,0,0,0,0,0,0,106,1,447,8,0,0,27,35.06,19,51,12,1,19,5,7,0,0,1,,0,0,0,Jack Rodwell,Sunderland,32002,41,DF,,,
0,3,0,27,44.26,20,44.44,14,53.85,12,1,82.26,47,44.34,702,1,11,4,11,0,0,0,0,0,0,0,0,0,0,101,0,306,10,8,25.81,8,38.1,10,34,8,0,5,2,1,0,1,0,,0,0,0,Kieran Gibbs,Arsenal,24814,42,DF,,,
1,1,0,43,63.24,13,50,5,71.43,31,0,84.77,56,59.57,823,8,10,2,18,0,0,0,0,0,0,0,0,0,0,121,1,462,7,4,36.36,38,61.29,26,31,11,0,5,3,0,20,0,1,,0,0,0,Àngel Rangel,Swansea City,27463,74,DF,,,
0,4,1,51,53.13,8,33.33,3,37.5,32,0,73.05,59,49.17,1170,16,25,5,15,0,0,0,0,0,0,0,0,0,0,93,2,290,10,8,28.57,30,41.1,27,27,11,0,11,2,1,0,0,0,,0,0,1,Phil Bardsley,Stoke City,768,29,DF,,,
1,6,0,189,58.51,31,38.27,36,54.55,85,5,84.71,220,54.46,3099,70,45,23,36,0,0,0,0,0,0,0,0,0,0,378,8,1230,30,13,23.64,37,37,54,71,46,1,26,6,8,3.85,2,3,,0,1,0,Adam Smith,Bournemouth,44566,60,DF,,,
0,8,0,37,50.68,59,51.75,0,0,25,2,71.48,96,51.34,2007,13,26,3,30,0,0,0,0,0,0,0,0,0,0,72,3,634,6,2,40,108,40.6,36,151,9,0,5,1,1,0,0,0,,0,1,0,Damien Delaney,Crystal Palace,10038,7,DF,,,
1,3,0,39,54.93,65,59.09,4,57.14,27,0,67.69,104,57.46,2430,8,20,3,27,0,0,0,0,0,0,0,0,0,0,43,0,442,4,0,0,33,25.78,53,141,8,2,14,3,5,7.14,0,1,,0,2,0,Wes Morgan,Leicester City,20375,31,DF,,,
1,8,0,77,50.33,95,59.75,10,71.43,55,0,69.04,172,55.13,2270,13,25,13,27,0,0,0,0,0,0,0,0,0,0,167,2,484,29,10,23.81,33,37.08,46,94,38,2,15,4,3,6.67,0,0,,0,0,0,Billy Jones,Sunderland,27338,41,DF,,,
0,5,0,37,52.11,58,55.24,0,0,29,1,76.09,95,53.98,2160,9,17,4,28,0,0,0,0,0,0,0,0,0,0,37,1,522,1,0,0,53,40.46,39,150,13,0,3,2,0,0,0,0,,0,0,0,John O'Shea,Sunderland,763,41,DF,,,
0,7,0,160,60.84,62,59.05,20,62.5,89,1,73.57,222,60.33,3418,53,37,34,38,0,0,0,0,0,0,0,0,0,0,301,2,955,12,15,19.23,93,38.27,59,134,21,1,14,2,6,0,0,0,,0,1,1,Joel Ward,Crystal Palace,39183,7,DF,,,
0,2,0,45,61.64,9,36,15,93.75,19,0,83.68,54,55.1,1058,11,6,10,24,0,0,0,0,0,0,0,0,0,0,227,3,487,20,16,17.39,27,56.25,22,13,11,0,8,2,2,0,1,3,,0,0,0,Jesús Navas,Manchester City,11869,17,DF,,,
0,4,0,22,48.89,18,43.9,3,100,17,0,68.09,40,46.51,920,3,15,1,11,0,0,0,0,0,0,0,0,0,0,13,0,128,2,0,0,16,30.77,26,56,7,0,4,1,1,0,0,0,,0,0,0,Yohan Benalouane,Leicester City,21515,31,DF,,,
2,6,0,95,51.91,14,30.43,15,68.18,50,0,84.48,109,47.6,1357,31,25,20,27,0,0,0,0,0,0,0,0,0,0,214,1,697,10,2,28.57,45,65.22,28,18,36,0,16,4,3,12.5,0,1,,0,0,0,Dan Gosling,Bournemouth,19343,60,DF,,,
0,1,0,7,63.64,6,50,1,50,4,0,78.79,13,56.52,180,2,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,78,0,0,0,7,36.84,4,8,1,0,1,0,0,0,0,1,,0,0,0,Philipp Wollscheid,Stoke City,94329,29,DF,,,
0,8,0,101,58.38,42,51.85,18,58.06,63,0,70.94,143,56.3,1849,20,29,15,24,0,0,0,0,0,0,0,0,0,0,134,0,503,16,14,20,24,27.27,35,66,17,0,5,2,1,0,0,4,,0,0,0,Fábio,Middlesbrough,40677,36,DF,,,
0,8,0,118,53.88,21,52.5,30,68.18,72,2,70.75,139,53.67,2637,18,50,18,32,0,0,0,0,0,0,0,0,0,0,130,1,520,10,16,20.51,41,30.83,60,101,19,0,6,1,3,0,0,2,,0,1,0,Allan Nyom,West Bromwich Albion,128637,8,DF,,,
0,2,0,47,51.09,27,43.55,5,50,35,0,80.03,74,48.05,1878,7,17,8,24,0,0,0,0,0,0,0,0,0,0,74,0,469,2,1,10,41,47.13,34,80,16,0,6,2,2,0,0,0,,0,1,0,Jason Denayer,Sunderland,352664,41,DF,,,
0,12,0,67,54.47,52,44.07,6,60,50,2,68.96,119,49.38,2990,11,35,4,35,0,0,0,0,0,0,0,0,0,0,162,1,753,11,11,42.31,64,29.49,67,143,15,0,2,0,2,0,0,2,,0,0,0,Danny Simpson,Leicester City,30502,31,DF,,,
1,1,0,18,47.37,24,63.16,0,0,9,0,77.16,42,55.26,661,9,12,1,8,0,0,0,0,0,0,0,0,0,0,13,0,250,0,0,0,40,43.96,18,56,9,2,4,2,0,25,0,0,,0,2,0,Mike van der Hoorn,Swansea City,152414,74,DF,,,
1,4,0,82,47.67,31,41.89,45,76.27,24,4,84.7,113,45.93,2499,14,20,42,33,0,0,0,0,0,0,0,0,0,0,395,3,1179,28,11,15.94,21,42.86,36,46,17,1,22,5,6,4.55,1,0,,0,0,0,Héctor Bellerín,Arsenal,188365,42,DF,,,
0,2,0,25,49.02,3,42.86,0,0,23,0,68.38,28,48.28,359,2,9,4,6,0,0,0,0,0,0,0,0,0,0,21,0,93,1,0,0,11,34.38,14,23,13,0,0,0,0,0,0,0,,0,0,0,Jon Flanagan,Burnley,143024,6,DF,,,
2,2,0,41,53.25,21,50,9,45,10,0,77.42,62,52.1,1253,24,12,12,15,0,0,0,0,0,0,0,0,0,0,101,0,384,7,12,20.34,34,39.08,10,49,3,0,9,4,2,22.22,0,0,,0,2,0,Martin Olsson,Swansea City,27247,74,DF,,,
0,0,0,1,100,0,0,0,0,1,0,0,1,100,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,Baily Cargill,Bournemouth,369020,60,DF,,,
0,0,0,13,52,3,42.86,3,100,7,0,76.27,16,50,248,3,6,2,3,0,0,0,0,0,0,0,0,0,0,14,0,45,1,1,33.33,4,57.14,7,6,4,0,2,1,1,0,0,0,,0,0,0,Brendan Galloway,West Bromwich Albion,198030,8,DF,,,
0,0,0,14,53.85,2,28.57,1,50,9,0,91.61,16,48.48,305,4,6,1,4,0,0,0,0,0,0,0,0,0,0,17,0,131,1,0,0,2,28.57,7,8,4,0,2,0,1,0,0,0,,0,0,0,Axel Tuanzebe,Manchester United,817979,35,DF,,,
0,0,0,60,57.69,23,56.1,15,50,35,0,72.21,83,57.24,1136,11,4,12,19,0,0,0,0,0,0,0,0,0,0,96,0,252,6,2,13.33,27,37.5,26,49,14,0,3,0,2,0,0,0,,0,1,0,Jeffrey Schlupp,Crystal Palace,148710,7,DF,,,
0,1,0,30,58.82,26,57.78,3,50,19,0,68.06,56,58.33,556,9,10,1,19,0,0,0,0,0,0,0,0,0,0,29,0,179,4,0,0,24,40.68,11,37,8,1,5,0,2,0,0,2,,0,0,0,James Tarkowski,Burnley,145188,6,DF,,,
2,2,0,64,48.48,21,50,16,48.48,45,1,73.84,85,48.85,1615,3,17,16,27,0,0,0,0,0,0,0,0,0,0,120,2,446,13,13,25,43,49.43,20,35,20,1,26,8,7,7.69,1,5,,0,0,0,Daryl Janmaat,Watford,32213,24,DF,,,
1,5,0,89,53.61,9,40.91,26,61.9,53,2,76,98,52.13,2736,10,18,20,33,0,0,0,0,0,0,0,0,0,0,231,1,934,19,21,17.65,80,36.36,55,75,23,0,7,1,3,14.29,1,1,,0,1,0,Andrew Robertson,Hull City,262911,96,DF,,,
0,3,0,12,42.86,15,71.43,3,100,4,0,63.35,27,55.1,591,6,12,0,7,0,0,0,0,0,0,0,0,0,0,11,0,102,0,0,0,14,29.79,11,38,4,0,3,0,0,0,0,2,,0,0,0,Jonas Olsson,West Bromwich Albion,7776,8,DF,,,
1,0,0,2,40,1,33.33,0,0,2,0,75.34,3,37.5,180,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,55,1,0,0,6,40,5,11,2,0,1,1,0,100,0,0,,0,0,0,Matthew Pennington,Everton,371366,48,DF,,,
1,2,0,49,59.76,27,60,11,52.38,23,0,68.77,76,59.84,696,15,7,4,12,0,0,0,0,0,0,0,0,0,0,50,1,207,3,1,5.56,14,28.57,23,16,13,0,7,2,2,14.29,0,1,,0,1,1,Ben Chilwell,Leicester City,802695,31,DF,,,
1,1,0,6,37.5,14,70,0,0,3,0,92.19,20,55.56,494,3,5,2,9,0,0,0,0,0,0,0,0,0,0,18,1,295,2,0,0,10,58.82,4,21,2,1,8,2,1,12.5,0,0,,1,0,0,John Terry,Chelsea,1205,38,DF,,,
0,0,0,1,100,0,0,0,0,0,0,87.5,1,100,24,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,,0,0,0,Ola Aina,Chelsea,800417,38,DF,,,
2,1,0,21,46.67,18,48.65,2,33.33,15,0,65.13,39,47.56,767,4,13,0,16,0,0,0,0,0,0,0,0,0,0,27,0,155,3,3,30,24,34.29,17,40,9,0,7,3,2,28.57,0,0,,0,0,0,Christian Kabasele,Watford,58351,24,DF,,,
0,0,0,15,83.33,5,71.43,5,83.33,8,1,80.47,20,80,246,2,2,1,9,0,0,0,0,0,0,0,0,0,0,7,1,103,1,0,0,8,40,5,11,0,0,1,0,0,0,0,0,,1,0,0,Kurt Zouma,Chelsea,139227,38,DF,,,
0,0,0,8,72.73,0,0,2,66.67,3,0,80,8,53.33,126,3,1,0,4,0,0,0,0,0,0,0,0,0,0,20,0,56,1,1,7.69,1,20,2,2,1,0,3,0,1,0,0,0,,0,0,0,Jérémy Pied,Southampton,37761,45,DF,,,
0,0,0,7,43.75,0,0,1,33.33,4,0,64.79,7,41.18,165,2,1,2,7,0,0,0,0,0,0,0,0,0,0,12,0,46,1,1,16.67,3,27.27,3,11,4,0,3,2,1,0,0,0,,0,0,0,Trent Alexander-Arnold,Liverpool,795064,44,DF,,,
0,0,0,16,55.17,14,50,2,66.67,10,0,83.17,30,52.63,506,4,7,3,7,0,0,0,0,0,0,0,0,0,0,18,1,252,1,1,100,25,55.56,5,40,3,0,1,1,0,0,0,0,,0,1,0,Tyrone Mings,Bournemouth,303638,60,DF,,,
0,0,0,2,100,2,66.67,0,0,2,0,69.57,4,80,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,50,2,2,0,0,0,0,0,0,0,0,,0,0,0,Marcin Wasilewski,Leicester City,18398,31,DF,,,
0,3,0,5,50,8,72.73,1,100,3,0,81.78,13,61.9,356,1,4,1,5,0,0,0,0,0,0,0,0,0,0,20,0,184,1,0,0,13,38.24,4,13,0,0,0,0,0,0,0,0,,0,2,0,Kevin Wimmer,Tottenham Hotspur,141203,33,DF,,,
0,5,1,40,48.19,23,51.11,4,80,24,1,69.89,63,49.22,1247,13,21,8,18,0,0,0,0,0,0,0,0,0,0,106,1,304,7,4,14.81,20,25.32,42,59,14,0,8,0,2,0,0,2,,0,2,0,Sam Byram,West Ham United,254713,37,DF,,,
1,2,0,57,54.81,17,54.84,15,62.5,31,0,77.78,74,54.81,1428,13,14,18,20,0,0,0,0,0,0,0,0,0,0,108,0,329,4,5,14.71,9,29.03,24,50,6,0,3,1,1,33.33,0,5,,0,0,0,Javier Manquillo,Sunderland,210082,41,DF,,,
0,4,0,57,55.34,55,58.51,3,60,46,2,69.55,112,56.85,2128,9,19,2,29,0,0,0,0,0,0,0,0,0,0,85,0,434,8,5,13.89,47,35.07,25,132,24,0,3,0,2,0,1,0,,2,1,0,Martin Kelly,Crystal Palace,39472,7,DF,,,
0,2,0,30,51.72,19,73.08,4,57.14,18,1,77.72,49,58.33,956,8,11,4,16,0,0,0,0,0,0,0,0,0,0,68,1,321,4,1,11.11,43,52.44,24,25,10,0,7,1,4,0,0,0,,0,0,0,Håvard Nordtveit,West Ham United,22337,37,DF,,,
0,3,1,66,49.62,59,60.82,11,57.89,42,2,77.02,125,54.35,2520,13,22,19,33,0,0,0,0,0,0,0,0,0,0,252,2,1056,26,19,15.45,70,33.98,49,90,21,0,9,2,2,0,0,1,,0,0,0,Ahmed Elmohamady,Hull City,32787,96,DF,,,
0,0,0,25,64.1,7,36.84,6,54.55,12,0,77.65,32,55.17,1036,7,3,5,13,0,0,0,0,0,0,0,0,0,0,91,0,337,4,10,21.28,19,29.69,8,24,2,0,4,1,0,0,0,0,,0,0,0,Stephen Kingsley,Swansea City,151118,74,DF,,,
0,1,0,8,42.11,4,28.57,0,0,7,0,79.35,12,36.36,326,1,5,2,4,0,0,0,0,0,0,0,0,0,0,18,0,123,4,4,40,5,35.71,9,10,4,0,0,0,0,0,0,0,,0,1,0,Luis Hernández,Leicester City,260097,31,DF,,,
0,1,0,26,50,7,33.33,2,66.67,14,0,76.37,33,45.21,633,12,15,7,15,0,0,0,0,0,0,0,0,0,0,41,0,139,3,1,8.33,6,54.55,5,13,5,0,3,0,2,0,0,1,,0,0,0,Markus Henriksen,Hull City,61238,96,DF,,,
0,1,0,15,65.22,2,33.33,3,100,6,1,83.52,17,58.62,298,6,2,1,12,0,0,0,0,0,0,0,0,0,0,52,0,152,5,3,23.08,5,23.81,2,17,5,0,3,0,1,0,1,0,,0,0,0,Alberto Moreno,Liverpool,229740,44,DF,,,
0,2,1,38,40.86,36,52.17,9,42.86,21,2,75.46,74,45.68,2117,8,11,19,26,0,0,0,0,0,0,0,0,0,0,146,4,572,17,17,17.53,57,39.04,25,61,15,1,11,2,4,0,0,4,,1,3,0,Aaron Cresswell,West Ham United,43443,37,DF,,,
0,3,0,8,47.06,4,80,0,0,5,0,86.54,12,54.55,256,3,5,1,3,0,0,0,0,0,0,0,0,0,0,19,0,90,2,1,16.67,3,33.33,9,7,3,0,1,0,0,0,0,0,,0,0,0,Álvaro Arbeloa,West Ham United,14167,37,DF,,,
0,0,0,13,43.33,11,55,1,100,9,0,75.86,24,48,354,3,5,6,9,0,0,0,0,0,0,0,0,0,0,26,0,88,3,2,33.33,8,88.89,3,4,6,0,1,0,0,0,0,0,,0,0,0,Paddy McNair,Sunderland,592876,41,DF,,,
0,1,0,12,42.86,4,44.44,3,50,8,0,75.56,16,43.24,324,2,4,3,5,0,0,0,0,0,0,0,0,0,0,16,0,102,1,1,14.29,3,21.43,5,17,6,0,0,0,0,0,0,0,,1,0,0,Josh Tymon,Hull City,830238,96,DF,,,
0,3,0,26,45.61,1,12.5,8,61.54,12,0,76.77,27,41.54,364,6,9,11,11,0,0,0,0,0,0,0,0,0,0,27,0,76,4,4,30.77,4,44.44,6,2,6,0,3,0,3,0,0,0,,0,0,0,Lynden Gooch,Sunderland,791439,41,DF,,,
0,0,0,0,0,1,100,0,0,0,0,66.67,1,50,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Jonjoe Kenny,Everton,361310,48,DF,,,
0,0,0,0,0,0,0,0,0,0,0,90,0,0,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,Mathieu Debuchy,Arsenal,3579,42,DF,,,
0,0,0,2,66.67,0,0,0,0,2,0,85.71,2,66.67,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,12,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,Andrew Eleftheriou,Watford,862794,24,DF,,,
0,0,0,4,57.14,0,0,1,100,1,0,82.76,4,57.14,112,2,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,24,0,0,0,1,50,3,3,0,0,0,0,0,0,0,0,,0,0,0,Brandon Mason,Watford,845425,24,DF,,,
0,0,0,11,45.83,6,37.5,2,40,6,0,80.73,17,42.5,616,3,2,2,8,0,0,0,0,0,0,0,0,0,0,32,0,176,4,4,26.67,6,35.29,9,31,6,0,0,0,0,0,0,0,,1,0,0,Omar Elabdellaoui,Hull City,100619,96,DF,,,
0,0,0,5,31.25,0,0,1,33.33,2,1,71.43,5,26.32,182,2,4,3,8,0,0,0,0,0,0,0,0,0,0,16,1,50,2,3,33.33,5,41.67,1,5,2,0,0,0,0,0,0,0,,0,0,0,Zeki Fryers,Crystal Palace,137756,7,DF,,,
0,0,0,1,25,1,50,0,0,0,0,85.29,2,33.33,123,1,2,1,2,0,0,0,0,0,0,0,0,0,0,4,0,29,0,0,0,3,37.5,5,13,0,0,0,0,0,0,0,0,,1,0,0,Joleon Lescott,Sunderland,10607,41,DF,,,
0,1,0,9,40.91,0,0,1,20,5,0,78.07,9,37.5,272,3,2,3,5,0,0,0,0,0,0,0,0,0,0,20,0,89,2,0,0,3,30,3,9,4,0,2,1,1,0,0,0,,0,0,0,Bradley Smith,Bournemouth,149814,60,DF,,,
0,0,0,0,0,2,100,0,0,0,0,60.71,2,66.67,59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,James Husband,Middlesbrough,810572,36,DF,,,
0,0,0,1,100,0,0,0,0,1,0,75,1,100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Ainsley Maitland-Niles,Arsenal,352768,42,DF,,,
24,6,0,230,48.42,14,21.54,108,67.92,53,10,73.58,244,45.19,3223,70,49,128,38,0,0,0,0,0,0,0,0,0,0,687,10,1209,83,17,25.76,76,69.72,24,4,29,8,129,49,43,18.6,5,27,,0,3,5,Alexis Sánchez,Arsenal,34120,42,FW,,,
16,3,0,260,65.16,20,37.04,143,76.88,18,5,84.23,280,61.81,3002,101,19,61,36,0,0,0,0,0,0,0,0,0,0,905,3,1474,91,17,20.24,114,87.02,28,4,17,8,77,33,17,20.78,0,8,,0,1,3,Eden Hazard,Chelsea,27583,38,FW,,,
29,3,0,101,46.54,46,41.07,38,49.35,22,7,71.69,147,44.68,2531,45,23,48,30,0,0,0,0,0,0,0,0,0,0,230,7,428,42,5,17.24,19,59.38,4,21,9,11,110,58,21,26.36,3,17,,0,0,1,Harry Kane,Tottenham Hotspur,108579,33,FW,,,
7,2,0,33,50,8,36.36,12,63.16,5,4,80.99,41,46.59,650,17,11,14,10,0,0,0,0,0,0,0,0,0,0,78,3,196,10,1,50,6,100,2,1,2,3,24,13,3,29.17,0,9,,0,0,0,Gabriel Jesus,Manchester City,794839,17,FW,,,
20,4,1,129,45.58,7,18.92,78,62.9,18,3,82.36,136,42.5,2403,33,23,67,31,0,0,0,0,0,0,0,0,0,0,313,6,635,32,2,11.76,16,94.12,3,1,20,13,139,53,37,14.39,2,23,,0,1,1,Sergio Agüero,Manchester City,17094,17,FW,,,
