goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position,,,
2,11,0,81,55.48,103,62.8,14,70,54,2,82.67,184,59.35,2275,16,35,6,26,0,0,0,0,0,0,0,0,0,0,186,1,1293,9,4,20,54,33.75,62,129,22,1,24,6,8,8.33,2,1,,0,1,0,Shkodran Mustafi,Arsenal,89894,42,DF,,,
1,5,0,121,61.73,22,46.81,37,61.67,67,3,85.77,143,58.85,2483,17,33,14,28,0,0,0,0,0,0,0,0,0,0,425,3,1175,32,41,28.87,49,36.3,42,58,11,1,9,4,4,11.11,0,7,,0,0,1,Antonio Valencia,Manchester United,11820,35,DF,,,
6,5,0,77,62.1,91,61.9,4,40,53,0,88.37,168,61.99,3296,24,34,7,37,0,0,0,0,0,0,0,0,0,0,178,0,1634,5,0,0,112,55.45,46,167,7,0,24,10,4,25,0,2,,2,0,0,Gary Cahill,Chelsea,9628,38,DF,,,
1,5,0,48,56.47,46,62.16,10,83.33,29,0,86.12,94,59.12,1660,10,24,2,21,0,0,0,0,0,0,0,0,0,0,96,0,819,5,2,20,67,45.58,33,143,11,0,14,4,3,7.14,0,0,,0,0,0,Marcos Rojo,Manchester United,46998,35,DF,,,
1,7,1,67,52.34,82,56.94,2,100,53,3,81.98,149,54.78,3158,13,38,5,36,0,0,0,0,0,0,0,0,0,0,93,1,1410,10,0,0,166,46.5,57,286,21,1,15,6,3,6.67,0,3,,0,2,0,Ashley Williams,Everton,20204,48,DF,,,
4,1,0,64,68.09,84,61.76,19,90.48,29,0,82.84,148,64.35,2430,18,10,4,27,0,0,0,0,0,0,0,0,0,0,76,1,1009,4,0,0,163,57.8,30,169,16,1,22,5,4,18.18,2,0,,1,1,0,Alfie Mawson,Swansea City,313442,74,DF,,,
2,6,0,61,57.55,103,64.38,1,100,41,1,86.46,164,61.65,2554,20,25,4,29,0,0,0,0,0,0,0,0,0,0,160,0,1730,8,1,14.29,140,46.51,45,182,18,0,15,5,3,13.33,1,1,,1,2,0,Dejan Lovren,Liverpool,39480,44,DF,,,
6,5,0,77,60.16,113,70.63,18,85.71,50,1,65.9,190,65.97,3143,12,27,5,36,0,0,0,0,0,0,0,0,0,0,79,0,489,5,2,50,106,44.92,71,227,17,1,16,7,1,37.5,2,0,,2,0,0,Gareth McAuley,West Bromwich Albion,13357,8,DF,,,
2,5,0,119,67.23,69,70.41,29,78.38,54,2,76.23,188,68.36,2307,36,24,9,29,0,0,0,0,0,0,0,0,0,0,148,1,901,12,3,20,102,46.15,63,141,17,2,34,10,5,5.88,1,3,,0,0,1,Harry Maguire,Hull City,149380,96,DF,,,
0,1,0,22,56.41,4,44.44,0,0,17,5,76.3,26,54.17,566,5,8,3,12,0,0,0,0,0,0,0,0,0,0,77,5,264,14,7,24.14,12,32.43,7,13,6,0,3,0,2,0,0,1,,0,0,0,Kieran Trippier,Tottenham Hotspur,69256,33,DF,,,
2,4,0,41,56.94,152,66.09,5,83.33,28,1,72.61,193,63.91,3150,11,14,8,35,0,0,0,0,0,0,0,0,0,0,110,1,819,8,1,33.33,126,46.67,63,260,11,0,23,8,8,8.7,1,1,,0,2,0,Michael Keane,Burnley,110846,6,DF,,,
0,8,0,137,55.47,60,68.18,35,53.85,72,5,79.85,197,58.81,2704,33,36,28,33,0,0,0,0,0,0,0,0,0,0,417,4,1169,39,13,13.54,111,57.51,38,94,18,0,19,5,5,0,0,3,,0,1,0,Kyle Walker,Tottenham Hotspur,44614,33,DF,,,
2,6,0,67,52.76,73,57.03,4,50,48,0,86.72,140,54.9,3044,18,24,15,36,0,0,0,0,0,0,0,0,0,0,218,0,1718,16,4,20,187,68,35,149,19,1,23,7,6,8.7,0,3,,1,4,2,Eric Dier,Tottenham Hotspur,146101,33,DF,,,
6,2,0,97,51.6,73,64.04,21,65.63,56,3,77.76,170,56.29,2694,20,25,30,31,0,0,0,0,0,0,0,0,0,0,327,4,972,24,17,16.67,52,40,44,76,26,2,46,16,10,13.04,4,3,,0,1,0,Marcos Alonso,Chelsea,69408,38,DF,,,
1,2,0,31,58.49,11,55,4,80,21,0,78.25,42,57.53,648,6,9,2,10,0,0,0,0,0,0,0,0,0,0,36,0,241,4,1,12.5,10,25.64,23,31,10,0,6,3,2,16.67,1,0,,0,0,0,Marc Muniesa,Stoke City,54311,29,DF,,,
2,4,1,76,67.26,116,59.79,4,80,48,0,87.88,192,62.54,2823,25,19,1,33,0,0,0,0,0,0,0,0,0,0,91,0,1465,3,0,0,74,55.22,90,202,19,0,9,4,3,22.22,0,2,,0,1,0,Laurent Koscielny,Arsenal,51340,42,DF,,,
1,2,0,50,67.57,75,57.25,1,33.33,30,0,85.97,125,60.98,2070,20,18,4,23,0,0,0,0,0,0,0,0,0,0,63,0,968,4,1,12.5,44,35.77,47,144,2,1,15,7,2,6.67,0,1,,0,0,0,Maya Yoshida,Southampton,24248,45,DF,,,
