team,rank,played,won,drawn,lost,gf,ga,gd,points,manager,captain,stadium,top_scorer_all_time,premier_league_titles,fa_cup_titles,league_cup_titles
Manchester City,1,38,32,2,4,95,23,72,98,Pep Guardiola,Vincent Kompany,Etihad Stadium,Sergio Agüero,4,6,6
Liverpool,2,38,30,7,1,89,22,67,97,Jürgen Klopp,Jordan Henderson,Anfield,Ian Rush,0,7,8
Chelsea,3,38,21,9,8,63,39,24,72,Maurizio Sarri,Gary Cahill,Stamford Bridge,Frank Lampard,5,8,5
Tottenham Hotspur,4,38,23,2,13,67,39,28,71,Mauricio Pochettino,Hugo Lloris,Tottenham Hotspur Stadium,Jimmy Greaves,0,8,4
Arsenal,5,38,21,7,10,73,51,22,70,Unai Emery,Laurent Koscielny,Emirates Stadium,Thierry Henry,3,13,2
Manchester United,6,38,19,9,10,65,54,11,66,Ole Gunnar Solskjær,Antonio Valencia,Old Trafford,Wayne Rooney,13,12,5
Wolverhampton,7,38,16,9,13,47,46,1,57,Nuno Espírito Santo,Conor Coady,Molineux Stadium,Steve Bull,0,4,2
Everton,8,38,15,9,14,54,46,8,54,Marco Silva,Phil Jagielka,Goodison Park,Dixie Dean,0,5,0
Leicester City,9,38,15,7,16,51,48,3,52,Brendan Rodgers,Wes Morgan,King Power Stadium,Arthur Chandler,1,0,3
West Ham United,10,38,15,7,16,52,55,-3,52,Manuel Pellegrini,Mark Noble,London Stadium,Vic Walton,0,3,0
Watford,11,38,14,8,16,52,59,-7,50,Javi Gracia,Troy Deeney,Vicarage Road,Luther Blissett,0,0,0
Crystal Palace,12,38,14,7,17,51,53,-2,49,Roy Hodgson,Luka Milivojević,Selhurst Park,Peter Simpson,0,0,0
Newcastle United,13,38,12,9,17,42,48,-6,45,Rafael Benítez,Jamaal Lascelles,St James' Park,Alan Shearer,0,6,0
Bournemouth,14,38,13,6,19,56,70,-14,45,Eddie Howe,Simon Francis,Vitality Stadium,Ron Eyre,0,0,0
Burnley,15,38,11,7,20,45,68,-23,40,Sean Dyche,Tom Heaton,Turf Moor,George Beel,0,1,0
Southampton,16,38,9,12,17,45,65,-20,39,Ralph Hasenhüttl,Steven Davis,St Mary's Stadium,Mick Channon,0,1,0
Brighton & Hove Albion,17,38,9,9,20,35,60,-25,36,Chris Hughton,Bruno Saltor,Amex Stadium,Tommy Cook,0,0,0
Cardiff City,18,38,10,4,24,34,69,-35,34,Neil Warnock,Sean Morrison,Cardiff City Stadium,Len Davies,0,0,0
Fulham,19,38,7,5,26,34,81,-47,26,Scott Parker,Tom Cairney,Craven Cottage,Gordon Davies,0,0,0
Huddersfield Town,20,38,3,7,28,22,76,-54,16,Jan Siewert,Tommy Smith,John Smith's Stadium,George Brown,0,1,0
