team,rank,played,won,drawn,lost,gf,ga,gd,points,manager,captain,stadium,top_scorer_all_time,premier_league_titles,fa_cup_titles,league_cup_titles
Manchester City,1,38,27,5,6,83,32,51,86,Pep Guardiola,Fernandinho,Etihad Stadium,Sergio Agüero,5,6,8
Manchester United,2,38,21,11,6,73,44,29,74,Ole Gunnar Solskjær,Harry Maguire,Old Trafford,Wayne Rooney,13,12,5
Liverpool,3,38,20,9,9,68,42,26,69,Jürgen Klopp,Jordan Henderson,Anfield,Ian Rush,1,7,8
Chelsea,4,38,19,10,9,58,36,22,67,Thomas Tuchel,César Azpilicueta,Stamford Bridge,Frank Lampard,5,8,5
Leicester City,5,38,20,6,12,68,50,18,66,Brendan Rodgers,Wes Morgan,King Power Stadium,Arthur Chandler,1,1,3
West Ham United,6,38,19,8,11,62,47,15,65,David Moyes,Mark Noble,London Stadium,Vic Watson,0,3,0
Tottenham Hotspur,7,38,18,8,12,68,45,23,62,Ryan Mason,Hugo Lloris,Tottenham Hotspur Stadium,Harry Kane,0,8,4
Arsenal,8,38,18,7,13,55,39,16,61,Mikel Arteta,Pierre-Emerick Aubameyang,Emirates Stadium,Thierry Henry,3,14,2
Leeds United,9,38,18,5,15,62,54,8,59,Marcelo Bielsa,Liam Cooper,Elland Road,Peter Lorimer,0,1,1
Everton,10,38,17,8,13,47,48,-1,59,Carlo Ancelotti,Séamus Coleman,Goodison Park,Dixie Dean,0,5,0
Aston Villa,11,38,16,7,15,55,46,9,55,Dean Smith,Jack Grealish,Villa Park,Billy Walker,0,7,5
Newcastle United,12,38,12,9,17,46,62,-16,45,Steve Bruce,Jamaal Lascelles,St James' Park,Alan Shearer,0,6,0
Wolverhampton,13,38,12,9,17,36,52,-16,45,Nuno Espírito Santo,Conor Coady,Molineux Stadium,Steve Bull,0,4,2
Crystal Palace,14,38,12,8,18,41,66,-25,44,Roy Hodgson,Luka Milivojević,Selhurst Park,Peter Simpson,0,0,0
Southampton,15,38,12,7,19,47,68,-21,43,Ralph Hasenhüttl,James Ward-Prowse,St Mary's Stadium,Mick Channon,0,1,0
Brighton & Hove Albion,16,38,9,14,15,40,46,-6,41,Graham Potter,Lewis Dunk,Amex Stadium,Tommy Cook,0,0,0
Burnley,17,38,10,9,19,33,55,-22,39,Sean Dyche,Ben Mee,Turf Moor,George Beel,0,1,0
Fulham,18,38,5,13,20,27,53,-26,28,Scott Parker,Tom Cairney,Craven Cottage,Gordon Davies,0,0,0
West Bromwich Albion,19,38,5,11,22,35,76,-41,26,Sam Allardyce,Jake Livermore,The Hawthorns,Tony Brown,0,1,1
Sheffield United,20,38,7,2,29,20,63,-43,23,Paul Heckingbottom,Billy Sharp,Bramall Lane,Harry Johnson,0,4,0
