team,rank,played,won,drawn,lost,gf,ga,gd,points,manager,captain,stadium,top_scorer_all_time,premier_league_titles,fa_cup_titles,league_cup_titles
Chelsea,1,38,30,3,5,85,33,52,93,Antonio Conte,John Terry,Stamford Bridge,Frank Lampard,5,7,5
Tottenham Hotspur,2,38,26,8,4,86,26,60,86,Mauricio Pochettino,Hugo Lloris,White Hart Lane,Jimmy Greaves,0,8,4
Manchester City,3,38,23,9,6,80,39,41,78,Pep Guardiola,Vincent Kompany,Etihad Stadium,Sergio Agüero,2,5,4
Liverpool,4,38,22,10,6,78,42,36,76,Jürgen Klopp,Jordan Henderson,Anfield,Ian Rush,0,7,8
Arsenal,5,38,23,6,9,77,44,33,75,Arsène Wenger,Per Mertesacker,Emirates Stadium,Thierry Henry,3,13,2
Manchester United,6,38,18,15,5,54,29,25,69,José Mourinho,Wayne Rooney,Old Trafford,Wayne Rooney,13,12,5
Everton,7,38,17,10,11,62,44,18,61,Ronald Koeman,Phil Jagielka,Goodison Park,Dixie Dean,0,5,0
Southampton,8,38,12,10,16,41,48,-7,46,Claude Puel,Steven Davis,St Mary's Stadium,Mick Channon,0,1,0
Bournemouth,9,38,12,10,16,55,67,-12,46,Eddie Howe,Simon Francis,Vitality Stadium,Ron Eyre,0,0,0
West Bromwich Albion,10,38,12,9,17,43,51,-8,45,Tony Pulis,Chris Brunt,The Hawthorns,Tony Brown,0,1,1
West Ham United,11,38,12,9,17,47,64,-17,45,Slaven Bilić,Mark Noble,London Stadium,Vic Walton,0,3,0
Leicester City,12,38,12,8,18,48,63,-15,44,Craig Shakespeare,Wes Morgan,King Power Stadium,Arthur Chandler,1,0,0
Stoke City,13,38,11,11,16,41,56,-15,44,Mark Hughes,Ryan Shawcross,bet365 Stadium,John Ritchie,0,0,0
Crystal Palace,14,38,12,5,21,50,63,-13,41,Sam Allardyce,Jason Puncheon,Selhurst Park,Peter Simpson,0,0,0
Swansea City,15,38,12,5,21,45,70,-25,41,Paul Clement,Leon Britton,Liberty Stadium,Ivor Allchurch,0,0,1
Burnley,16,38,11,7,20,39,55,-16,40,Sean Dyche,Tom Heaton,Turf Moor,George Beel,0,1,0
Watford,17,38,11,7,20,40,68,-28,40,Walter Mazzarri,Troy Deeney,Vicarage Road,Luther Blissett,0,0,0
Hull City,18,38,9,7,22,37,80,-43,34,Marco Silva,Michael Dawson,KCOM Stadium,Chris Chilton,0,0,0
Middlesbrough,19,38,5,13,20,27,53,-26,28,Steve Agnew,Grant Leadbitter,Riverside Stadium,George Camsell,0,0,1
Sunderland,20,38,6,6,26,29,69,-40,24,David Moyes,John O'Shea,Stadium of Light,Bobby Gurney,0,2,0
