goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position
1,5,0,119,51.74,49,58.33,19,61.29,71,7,75.97,168,53.5,3347,29,48,9,38,0,0,0,0,0,0,0,0,0,0,566,24,1568,111,135,34.35,148,45.54,43,75,44,0,14,4,8,7.14,1,7,0.87,1,1,1,Kieran Trippier,Newcastle United,69256,39,DF
2,5,0,93,50,20,60.61,30,69.77,57,9,78.69,113,51.6,2940,6,22,21,37,0,0,0,0,0,0,0,0,0,0,474,25,1817,72,79,31.35,194,48.74,43,36,38,1,40,8,15,5,1,5,2.37,0,2,1,Trent Alexander-Arnold,Liverpool,795064,44,DF
0,2,0,56,73.68,62,72.94,3,100,41,2,91.29,118,73.29,2352,13,10,1,27,0,0,0,0,0,0,0,0,0,0,145,1,1854,5,0,0,116,56.04,34,109,10,1,15,2,5,0,1,0,1.52,0,2,0,Thiago Silva,Chelsea,33541,38,DF
2,2,0,26,76.47,19,55.88,1,100,15,0,88.47,45,66.18,596,10,6,0,7,0,0,0,0,0,0,0,0,0,0,28,0,284,1,0,0,12,52.17,6,28,2,1,8,4,0,25,0,0,1.46,0,0,0,Yerry Mina,Everton,360396,48,DF
1,6,0,83,57.64,120,71.01,9,90,51,1,81.23,203,64.86,3420,23,40,5,38,0,0,0,0,0,0,0,0,0,0,123,6,1316,15,0,0,122,47.29,51,196,18,3,32,9,9,3.13,2,2,3.11,0,3,0,James Tarkowski,Everton,145188,48,DF
1,4,0,71,65.74,23,58.97,22,68.75,31,1,90.73,94,63.95,1244,18,9,14,16,0,0,0,0,0,0,0,0,0,0,230,3,773,21,18,19.78,39,73.58,12,20,4,0,16,4,6,6.25,1,4,1.02,0,0,0,Reece James,Chelsea,885908,38,DF
3,0,0,64,79.01,105,66.04,2,66.67,52,0,80.22,169,70.42,2700,10,6,7,30,0,0,0,0,0,0,0,0,0,0,78,0,876,9,3,30,48,37.8,35,214,6,3,15,9,3,20,0,0,3.05,2,0,1,Ethan Pinnock,Brentford,855864,50,DF
1,7,0,78,61.9,112,66.67,4,36.36,47,3,77.74,190,64.63,3209,27,20,7,36,0,0,0,0,0,0,0,0,0,0,212,3,1411,19,4,22.22,156,45.09,52,137,15,9,56,15,11,1.79,2,6,4.95,0,0,0,Fabian Schär,Newcastle United,101882,39,DF
1,6,0,78,65,32,50.79,14,100,54,0,87.29,110,60.11,2116,10,21,9,27,0,0,0,0,0,0,0,0,0,0,123,0,1325,6,0,0,68,41.21,33,97,13,1,10,1,3,10,1,0,0.52,0,0,0,Lisandro Martínez,Manchester United,859999,35,DF
1,2,0,21,53.85,35,71.43,1,33.33,14,0,89.71,56,63.64,912,6,9,3,11,0,0,0,0,0,0,0,0,0,0,53,1,767,3,0,0,39,58.21,16,33,5,1,6,2,2,16.67,0,0,1.18,0,1,0,Benoît Badiashile,Chelsea,904827,38,DF
